feature_set,n_features,model,algorithm,n_neighbors,calibration,Delta,chi,chi_err
30,30,KNN,auto,43,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.112,0.0006092856550809866,0.0006068883840500435
30,30,KNN,auto,43,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,43,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.112,0.0007220274915002495,0.0007003841239515631
30,30,KNN,auto,45,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,45,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.112,0.0008588833397491661,0.0007931228231929427
30,30,KNN,auto,47,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,47,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.112,0.0009989439809455053,0.0008860691669018868
30,30,KNN,auto,49,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,49,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.112,0.001032716748502023,0.0010277817941506155
30,30,KNN,auto,51,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,51,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,61,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,61,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,61,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,61,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,61,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,61,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,61,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,61,uncalibrated,-0.114,0.0,0.0
30,30,KNN,auto,61,uncalibrated,-0.112,0.0017395940897898708,0.0017284038474079417
30,30,KNN,auto,61,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,61,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,81,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,81,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,81,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,81,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,81,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,81,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,81,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,81,uncalibrated,-0.114,6.307548461617351e-05,6.126462864527237e-05
30,30,KNN,auto,81,uncalibrated,-0.112,0.002988172042406919,0.002965505387095431
30,30,KNN,auto,81,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,81,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,101,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,101,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,101,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,101,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,101,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,101,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,101,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,101,uncalibrated,-0.114,0.00029962561004946654,0.00029820411560312966
30,30,KNN,auto,101,uncalibrated,-0.112,0.004319701033574362,0.004130857788628611
30,30,KNN,auto,101,uncalibrated,-0.11,0.0,0.0
30,30,KNN,auto,101,uncalibrated,-0.108,0.0,0.0
30,30,KNN,auto,151,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,151,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,151,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,151,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,151,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,151,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,151,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,151,uncalibrated,-0.114,0.0018175174799626636,0.001794382624204379
30,30,KNN,auto,151,uncalibrated,-0.112,0.007484545709645423,0.006529168515010462
30,30,KNN,auto,151,uncalibrated,-0.11,6.4497198157919214e-06,6.434951454520232e-06
30,30,KNN,auto,151,uncalibrated,-0.108,1.2310940501993858e-05,1.231094050199399e-05
30,30,KNN,auto,201,uncalibrated,-0.128,0.0,0.0
30,30,KNN,auto,201,uncalibrated,-0.126,0.0,0.0
30,30,KNN,auto,201,uncalibrated,-0.124,0.0,0.0
30,30,KNN,auto,201,uncalibrated,-0.122,0.0,0.0
30,30,KNN,auto,201,uncalibrated,-0.12,0.0,0.0
30,30,KNN,auto,201,uncalibrated,-0.118,0.0,0.0
30,30,KNN,auto,201,uncalibrated,-0.116,0.0,0.0
30,30,KNN,auto,201,uncalibrated,-0.114,0.003882617879715002,0.0036958608937700606
30,30,KNN,auto,201,uncalibrated,-0.112,0.010286786583353705,0.009577485229058208
30,30,KNN,auto,201,uncalibrated,-0.11,0.0005586704469266798,0.0005340525051491464
30,30,KNN,auto,201,uncalibrated,-0.108,0.0003704093160707295,0.00036914131438284416
30,30,KNN,kd_tree,1,uncalibrated,-0.128,0.0,0.0
30,30,KNN,kd_tree,1,uncalibrated,-0.126,0.0,0.0
30,30,KNN,kd_tree,1,uncalibrated,-0.124,0.0,0.0
30,30,KNN,kd_tree,1,uncalibrated,-0.122,0.0,0.0
30,30,KNN,kd_tree,1,uncalibrated,-0.12,0.0,0.0
30,30,KNN,kd_tree,1,uncalibrated,-0.118,0.0,0.0
30,30,KNN,kd_tree,1,uncalibrated,-0.116,0.0,0.0
30,30,KNN,kd_tree,1,uncalibrated,-0.114,0.0,0.0
30,30,KNN,kd_tree,1,uncalibrated,-0.112,0.0,0.0
30,30,KNN,kd_tree,1,uncalibrated,-0.11,0.0,0.0
30,30,KNN,kd_tree,1,uncalibrated,-0.108,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.128,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.126,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.124,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.122,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.12,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.118,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.116,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.114,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.112,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.11,0.0,0.0
30,30,KNN,kd_tree,3,uncalibrated,-0.108,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.128,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.126,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.124,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.122,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.12,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.118,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.116,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.114,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.112,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.11,0.0,0.0
30,30,KNN,kd_tree,5,uncalibrated,-0.108,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.128,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.126,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.124,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.122,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.12,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.118,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.116,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.114,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.112,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.11,0.0,0.0
30,30,KNN,kd_tree,7,uncalibrated,-0.108,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.128,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.126,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.124,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.122,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.12,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.118,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.116,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.114,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.112,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.11,0.0,0.0
30,30,KNN,kd_tree,9,uncalibrated,-0.108,0.0,0.0
30,30,KNN,kd_tree,11,uncalibrated,-0.128,0.0,0.0
30,30,KNN,kd_tree,11,uncalibrated,-0.126,0.0,0.0
30,30,KNN,kd_tree,11,uncalibrated,-0.124,0.0,0.0
30,30,KNN,kd_tree,11,uncalibrated,-0.122,0.0,0.0
30,30,KNN,kd_tree,11,uncalibrated,-0.12,0.0,0.0
30,30,KNN,kd_tree,11,uncalibrated,-0.118,0.0,0.0
30,30,KNN,kd_tree,11,uncalibrated,-0.116,0.0,0.0
30,30,KNN,kd_tree,11,uncalibrated,-0.114,0.0,0.0
