feature_set,n_features,model,calibration,Delta,mean,mean_err
20,20,SVM (RBF),uncalibrated,-0.126,0.7681339031363,0.000196116473850458
20,20,SVM (RBF),uncalibrated,-0.124,0.763890259977806,0.000319757104346425
20,20,SVM (RBF),uncalibrated,-0.122,0.758352858619091,0.000490595713549533
20,20,SVM (RBF),uncalibrated,-0.12,0.752541552784009,0.00069782462693031
20,20,SVM (RBF),uncalibrated,-0.118,0.744620432628231,0.00149028254533602
20,20,SVM (RBF),uncalibrated,-0.116,0.748398511625896,0.000705607589392587
20,20,SVM (RBF),uncalibrated,-0.114,0.175713401315722,0.00584517993219383
20,20,SVM (RBF),uncalibrated,-0.112,0.181485393982944,0.00790392589529719
20,20,SVM (RBF),uncalibrated,-0.11,0.171827070361285,0.005075519711873
20,20,SVM (RBF),uncalibrated,-0.108,0.168430800583529,0.00300926161056932
20,20,Neural Network,calibrated,-0.128,0.999750190580715,2.72036884731757E-09
20,20,Neural Network,calibrated,-0.126,0.999750129410224,1.73612328957518E-08
20,20,Neural Network,calibrated,-0.124,0.999750052880715,4.48567141764222E-08
20,20,Neural Network,calibrated,-0.122,0.999749380987985,2.50821557648549E-07
20,20,Neural Network,calibrated,-0.12,0.999745786620037,3.50038343447512E-06
20,20,Neural Network,calibrated,-0.118,0.999736155955517,1.17363902785079E-05
20,20,Neural Network,calibrated,-0.116,0.99971693451036,1.9306879920646E-05
20,20,Neural Network,calibrated,-0.114,0.00084049107858277,8.65348797576365E-06
20,20,Neural Network,calibrated,-0.112,0.000941474635171325,0.000109854470234858
20,20,Neural Network,calibrated,-0.11,0.000831977362945014,3.60686565705982E-07
20,20,Neural Network,calibrated,-0.108,0.000831578777279895,4.38590995197399E-08
20,20,Neural Network,uncalibrated,-0.128,0.999999557551594,7.08750246141056E-08
20,20,Neural Network,uncalibrated,-0.126,0.999998875554309,7.20216158895673E-08
20,20,Neural Network,uncalibrated,-0.124,0.999998347084667,1.54594527436389E-07
20,20,Neural Network,uncalibrated,-0.122,0.999990786805355,1.13186565377544E-06
20,20,Neural Network,uncalibrated,-0.12,0.999981096972286,6.20171200286842E-06
20,20,Neural Network,uncalibrated,-0.118,0.999988820679264,2.16390079750314E-06
20,20,Neural Network,uncalibrated,-0.116,0.999976624121827,9.38418717334708E-06
20,20,Neural Network,uncalibrated,-0.114,4.20207402440504E-05,2.39766221616513E-05
20,20,Neural Network,uncalibrated,-0.112,0.000195254372782517,0.000184395514890502
20,20,Neural Network,uncalibrated,-0.11,1.43148261340014E-05,3.58032344304969E-06
20,20,Neural Network,uncalibrated,-0.108,1.3525443262602E-05,3.79218979860178E-06
12,12,Logistic Regression,calibrated,-0.128,0.999770977522207,4.15844471281188E-06
12,12,Logistic Regression,calibrated,-0.126,0.999725655921471,5.05865552028906E-06
12,12,Logistic Regression,calibrated,-0.124,0.999625242986494,7.7571936058661E-06
12,12,Logistic Regression,calibrated,-0.122,0.999453668123678,1.22909894945998E-05
12,12,Logistic Regression,calibrated,-0.12,0.999283994510539,1.50337028919911E-05
12,12,Logistic Regression,calibrated,-0.118,0.999026675519907,3.13267477165475E-05
12,12,Logistic Regression,calibrated,-0.116,0.99864054999935,3.60608924693866E-05
12,12,Logistic Regression,calibrated,-0.114,0.0017091980392537,0.000835884201896028
12,12,Logistic Regression,calibrated,-0.112,0.00229958030499343,0.00109876252350545
12,12,Logistic Regression,calibrated,-0.11,0.0012630918305427,0.00037177218930428
12,12,Logistic Regression,calibrated,-0.108,0.000888096988444962,0.000297391936549027
12,12,Logistic Regression,uncalibrated,-0.128,0.999848935899465,3.19370575402239E-06
12,12,Logistic Regression,uncalibrated,-0.126,0.999817390637776,3.93472310139632E-06
12,12,Logistic Regression,uncalibrated,-0.124,0.999736725586165,6.44213420299102E-06
12,12,Logistic Regression,uncalibrated,-0.122,0.999571523495142,1.13884685758066E-05
12,12,Logistic Regression,uncalibrated,-0.12,0.999411538794637,1.4556569693171E-05
12,12,Logistic Regression,uncalibrated,-0.118,0.999192200504586,2.99887927115766E-05
12,12,Logistic Regression,uncalibrated,-0.116,0.998838409518031,3.63576394157727E-05
12,12,Logistic Regression,uncalibrated,-0.114,0.00024699805565145,0.000136634107046759
12,12,Logistic Regression,uncalibrated,-0.112,0.000374630218307911,0.000207437646964137
12,12,Logistic Regression,uncalibrated,-0.11,0.000174555779930787,5.61538015148986E-05
12,12,Logistic Regression,uncalibrated,-0.108,0.000117351842118508,4.6350310413082E-05
12,12,Logistic Regression C = 0.00175,calibrated,-0.128,0.999856018585677,2.87961732064759E-06
12,12,Logistic Regression C = 0.00175,calibrated,-0.126,0.999796808935087,4.06806682840276E-06
12,12,Logistic Regression C = 0.00175,calibrated,-0.124,0.999718819003658,6.12972259559888E-06
12,12,Logistic Regression C = 0.00175,calibrated,-0.122,0.999601756697594,9.65321840816931E-06
12,12,Logistic Regression C = 0.00175,calibrated,-0.12,0.999475830823711,1.19302451430295E-05
12,12,Logistic Regression C = 0.00175,calibrated,-0.118,0.999259241307177,2.53695488316415E-05
12,12,Logistic Regression C = 0.00175,calibrated,-0.116,0.998947294660592,3.08223709401941E-05
12,12,Logistic Regression C = 0.00175,calibrated,-0.114,0.00171154847615813,0.000877420478096863
12,12,Logistic Regression C = 0.00175,calibrated,-0.112,0.00228939912813555,0.00113994216613237
12,12,Logistic Regression C = 0.00175,calibrated,-0.11,0.00121423628938519,0.000373493166824194
12,12,Logistic Regression C = 0.00175,calibrated,-0.108,0.00082322347100734,0.000296149074762962
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.128,0.987530690829556,0.000109949943591204
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.126,0.985953174486422,0.00012816761311282
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.124,0.983729013185171,0.000156578987910213
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.122,0.981119487361865,0.000199437166157774
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.12,0.97863415759171,0.000213267173758029
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.118,0.974845205395032,0.000408919884537457
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.116,0.97044911211346,0.000360785292892559
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.114,0.0541439080047786,0.0109463713101511
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.112,0.0561658065696798,0.00970646791948911
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.11,0.0466291563382324,0.00624455092798952
12,12,Logistic Regression C = 0.00175,uncalibrated,-0.108,0.0414920279614798,0.00494101524639505
12,12,kNN,calibrated,-0.128,0.999750124936284,2.20931592377709E-15
12,12,kNN,calibrated,-0.126,0.999750124936284,2.20931592377709E-15
12,12,kNN,calibrated,-0.124,0.999750124936295,1.09344286978131E-15
12,12,kNN,calibrated,-0.122,0.999750124936284,2.20931592377709E-15
12,12,kNN,calibrated,-0.12,0.999750124936295,2.16422309957864E-15
12,12,kNN,calibrated,-0.118,0.999750124936295,1.08779196440841E-15
12,12,kNN,calibrated,-0.116,0.999750124936284,2.20931592377709E-15
12,12,kNN,calibrated,-0.114,0.00083180844596262,3.01634319588546E-18
12,12,kNN,calibrated,-0.112,0.000831808445962619,3.153519019755E-18
12,12,kNN,calibrated,-0.11,0.000831808445962619,3.153519019755E-18
12,12,kNN,calibrated,-0.108,0.000831808445962619,3.153519019755E-18
12,12,kNN,uncalibrated,-0.128,1,0
12,12,kNN,uncalibrated,-0.126,1,0
12,12,kNN,uncalibrated,-0.124,1,0
12,12,kNN,uncalibrated,-0.122,1,0
12,12,kNN,uncalibrated,-0.12,1,0
12,12,kNN,uncalibrated,-0.118,1,0
12,12,kNN,uncalibrated,-0.116,1,0
12,12,kNN,uncalibrated,-0.114,0,0
12,12,kNN,uncalibrated,-0.112,0,0
12,12,kNN,uncalibrated,-0.11,0,0
12,12,kNN,uncalibrated,-0.108,0,0
12,12,SVM (RBF),calibrated,-0.128,0.999736875624965,2.11125605375014E-06
12,12,SVM (RBF),calibrated,-0.126,0.999717629424592,2.29526838860306E-06
12,12,SVM (RBF),calibrated,-0.124,0.999669266672994,3.53317466766018E-06
12,12,SVM (RBF),calibrated,-0.122,0.999585078549416,5.74347369213097E-06
12,12,SVM (RBF),calibrated,-0.12,0.999501943589184,6.73765759800079E-06
12,12,SVM (RBF),calibrated,-0.118,0.999400798186101,1.3039442000846E-05
12,12,SVM (RBF),calibrated,-0.116,0.999270040754271,1.43208943123504E-05
12,12,SVM (RBF),calibrated,-0.114,0.00120055519230016,0.000406302306242651
12,12,SVM (RBF),calibrated,-0.112,0.00205026017686672,0.000985025592420297
12,12,SVM (RBF),calibrated,-0.11,0.00101984610614094,0.000199533581640628
12,12,SVM (RBF),calibrated,-0.108,0.000747574560409836,0.000111263108148987
12,12,SVM (RBF),uncalibrated,-0.128,0.745860933693387,0.000243842422721351
12,12,SVM (RBF),uncalibrated,-0.126,0.744025493543476,0.000256184020885966
12,12,SVM (RBF),uncalibrated,-0.124,0.738988836542248,0.000333562586055816
12,12,SVM (RBF),uncalibrated,-0.122,0.731564735422718,0.000417312725964897
12,12,SVM (RBF),uncalibrated,-0.12,0.725849564126332,0.000414916385356059
