feature_set,n_features,model,calibration,Delta,chi,chi_err
20,20,Logistic Regression C = 0.00175,calibrated,-0.122,9.19984514361197E-09,5.45354755996912E-10
20,20,Logistic Regression C = 0.00175,calibrated,-0.12,1.31060619750934E-08,7.33753791085918E-10
20,20,Logistic Regression C = 0.00175,calibrated,-0.118,1.62468407585674E-08,6.52644715197618E-10
20,20,Logistic Regression C = 0.00175,calibrated,-0.116,2.17377114795709E-08,1.32517773665703E-09
20,20,Logistic Regression C = 0.00175,calibrated,-0.114,0.000224086603808768,0.000198075319538831
20,20,Logistic Regression C = 0.00175,calibrated,-0.112,0.00169654881793617,0.00143389406338352
20,20,Logistic Regression C = 0.00175,calibrated,-0.11,2.79740196801681E-05,1.84668556730876E-05
20,20,Logistic Regression C = 0.00175,calibrated,-0.108,2.72062743942271E-05,1.91412179329115E-05
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.128,2.89380412415682E-17,1.73046934170226E-18
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.126,1.87791928155812E-17,1.69979390350599E-18
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.124,4.6886066533889E-17,4.28698386989485E-18
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.122,2.10437713622962E-16,2.44777902062727E-17
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.12,4.98785746800682E-16,4.71213181169895E-17
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.118,1.10310063030368E-15,1.04747161883886E-16
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.116,2.36955327111714E-15,3.10235060139482E-16
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.114,2.24820230276214E-10,2.2396505588092E-10
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.112,5.5127996655665E-08,5.42293081702916E-08
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.11,1.59714177184192E-13,1.57915036832368E-13
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.108,2.88907586725696E-13,2.82863088642609E-13
20,20,Decision Tree,calibrated,-0.128,-8.97338455429101E-30,6.84030679802587E-46
20,20,Decision Tree,calibrated,-0.126,-8.97338455429101E-30,6.84030679802587E-46
20,20,Decision Tree,calibrated,-0.124,-4.26485220472316E-30,5.49567379848825E-46
20,20,Decision Tree,calibrated,-0.122,-3.20481549674643E-30,4.10792025080343E-46
20,20,Decision Tree,calibrated,-0.12,1.10933564726587E-31,6.30036688948E-46
20,20,Decision Tree,calibrated,-0.118,-7.67932806147494E-30,3.86747904352163E-46
20,20,Decision Tree,calibrated,-0.116,-3.20481549674643E-30,4.10792025080343E-46
20,20,Decision Tree,calibrated,-0.114,-4.69031842046662E-36,1.47650785236116E-52
20,20,Decision Tree,calibrated,-0.112,-1.75154655898012E-36,7.38253926180581E-53
20,20,Decision Tree,calibrated,-0.11,-1.75154655898012E-36,7.38253926180581E-53
20,20,Decision Tree,calibrated,-0.108,-1.75154655898012E-36,7.38253926180581E-53
20,20,Decision Tree,uncalibrated,-0.128,0,0
20,20,Decision Tree,uncalibrated,-0.126,0,0
20,20,Decision Tree,uncalibrated,-0.124,0,0
20,20,Decision Tree,uncalibrated,-0.122,0,0
20,20,Decision Tree,uncalibrated,-0.12,0,0
20,20,Decision Tree,uncalibrated,-0.118,0,0
20,20,Decision Tree,uncalibrated,-0.116,0,0
20,20,Decision Tree,uncalibrated,-0.114,0,0
20,20,Decision Tree,uncalibrated,-0.112,0,0
20,20,Decision Tree,uncalibrated,-0.11,0,0
20,20,Decision Tree,uncalibrated,-0.108,0,0
