feature_set,n_features,model,calibration,Delta,chi,chi_err
20,20,Logistic Regression,uncalibrated,-0.108,1.34673141447086E-07,4.00602901911581E-08
20,20,Logistic Regression C = 0.00175,calibrated,-0.128,3.92432320564857E-07,5.77095477052191E-08
20,20,Logistic Regression C = 0.00175,calibrated,-0.126,8.98806194307554E-07,2.5066651868956E-07
20,20,Logistic Regression C = 0.00175,calibrated,-0.124,1.87253774322931E-06,6.40988389569597E-07
20,20,Logistic Regression C = 0.00175,calibrated,-0.122,2.83582896378182E-06,4.83467099578282E-07
20,20,Logistic Regression C = 0.00175,calibrated,-0.12,6.46276848069741E-06,2.4932067949569E-06
20,20,Logistic Regression C = 0.00175,calibrated,-0.118,3.10951144898631E-05,6.12208790242338E-06
20,20,Logistic Regression C = 0.00175,calibrated,-0.116,8.15139407217036E-05,2.91330389348083E-05
20,20,Logistic Regression C = 0.00175,calibrated,-0.114,7.67885394564295E-05,3.0961679565035E-05
20,20,Logistic Regression C = 0.00175,calibrated,-0.112,0.000162582190425009,0.00013471122445339
20,20,Logistic Regression C = 0.00175,calibrated,-0.11,3.51923629943876E-05,1.04089243713087E-05
20,20,Logistic Regression C = 0.00175,calibrated,-0.108,2.48545930532858E-05,7.01290921124688E-06
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.128,3.33599198957591E-05,2.07917776183651E-06
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.126,5.02416181006763E-05,4.70005537015972E-06
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.124,7.37669270878262E-05,9.60877689073491E-06
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.122,0.000107311697434974,1.01855769788681E-05
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.12,0.000157625938336998,2.48263154216106E-05
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.118,0.000321886980867362,3.30766139363449E-05
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.116,0.000415261928366778,6.47517618432716E-05
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.114,0.00157017198700444,0.000333527943067098
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.112,0.00195232261972196,0.000922284942960279
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.11,0.00115286323026833,0.000176024945685434
20,20,Logistic Regression C = 0.00175,uncalibrated,-0.108,0.00104050736858711,0.000191709225157417
20,20,kNN,calibrated,-0.128,-8.97338455429101E-30,6.84030679802587E-46
20,20,kNN,calibrated,-0.126,-8.97338455429101E-30,6.84030679802587E-46
20,20,kNN,calibrated,-0.124,-4.26485220472316E-30,5.49567379848825E-46
20,20,kNN,calibrated,-0.122,-3.20481549674643E-30,4.10792025080343E-46
20,20,kNN,calibrated,-0.12,1.10933564726587E-31,6.30036688948E-46
20,20,kNN,calibrated,-0.118,-7.67932806147494E-30,3.86747904352163E-46
20,20,kNN,calibrated,-0.116,-3.20481549674643E-30,4.10792025080343E-46
20,20,kNN,calibrated,-0.114,-4.69031842046662E-36,1.47650785236116E-52
20,20,kNN,calibrated,-0.112,4.58935713877874E-06,4.58897046593602E-06
20,20,kNN,calibrated,-0.11,-1.75154655898012E-36,7.38253926180581E-53
20,20,kNN,calibrated,-0.108,-1.75154655898012E-36,7.38253926180581E-53
20,20,kNN,uncalibrated,-0.128,0,0
20,20,kNN,uncalibrated,-0.126,0,0
20,20,kNN,uncalibrated,-0.124,0,0
20,20,kNN,uncalibrated,-0.122,0,0
20,20,kNN,uncalibrated,-0.12,0,0
20,20,kNN,uncalibrated,-0.118,0,0
20,20,kNN,uncalibrated,-0.116,0,0
20,20,kNN,uncalibrated,-0.114,0,0
20,20,kNN,uncalibrated,-0.112,5.34759358288726E-06,5.3475935828877E-06
20,20,kNN,uncalibrated,-0.11,0,0
20,20,kNN,uncalibrated,-0.108,0,0
20,20,SVM (RBF),calibrated,-0.128,9.44423308978229E-09,2.27596911326729E-10
20,20,SVM (RBF),calibrated,-0.126,1.49260922150134E-08,8.4613284055509E-10
20,20,SVM (RBF),calibrated,-0.124,2.52996230814018E-08,3.69999000631569E-09
20,20,SVM (RBF),calibrated,-0.122,5.05526009749085E-08,6.02381751577867E-09
20,20,SVM (RBF),calibrated,-0.12,1.17685673832548E-07,2.95503567235049E-08
20,20,SVM (RBF),calibrated,-0.118,2.71522929014015E-07,4.73517924914908E-08
20,20,SVM (RBF),calibrated,-0.116,2.32568899478697E-07,7.00588772496212E-08
20,20,SVM (RBF),calibrated,-0.114,9.69578492694699E-06,5.53574204994711E-06
20,20,SVM (RBF),calibrated,-0.112,0.000132696508685212,0.000124729905433926
20,20,SVM (RBF),calibrated,-0.11,7.57092462862858E-06,4.06229602357574E-06
20,20,SVM (RBF),calibrated,-0.108,3.50919757748039E-06,1.08298123126382E-06
