feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
12,12,KNN,ball_tree,27,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.553,0.442,1.046,0.0079,0.0076,0.00014,2.057
12,12,KNN,ball_tree,29,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.618,0.418,0.94,0.0084,0.0081,0.00026,1.993
12,12,KNN,ball_tree,31,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.551,0.418,0.942,0.009,0.0077,0.00018,1.928
12,12,KNN,ball_tree,33,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.583,0.428,0.95,0.0085,0.0083,0.00014,1.977
12,12,KNN,ball_tree,35,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.493,0.444,0.997,0.0078,0.0078,0.00014,1.949
12,12,KNN,ball_tree,37,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.295,0.456,1.007,0.0079,0.0077,0.00014,1.773
12,12,KNN,ball_tree,39,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.446,0.449,1.003,0.0078,0.0078,0.00013,1.914
12,12,KNN,ball_tree,41,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.62,0.443,1.007,0.0079,0.0075,0.00014,2.086
12,12,KNN,ball_tree,43,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.637,0.409,0.92,0.0073,0.0073,0.00013,1.981
12,12,KNN,ball_tree,45,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.31,0.443,1.004,0.0078,0.0077,0.00014,1.772
12,12,KNN,ball_tree,47,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.4,0.419,0.941,0.0075,0.0073,0.00035,1.775
12,12,KNN,ball_tree,49,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.612,0.415,0.947,0.0087,0.0086,0.0002,1.992
12,12,KNN,ball_tree,51,uncalibrated,1.0,-0.115,0.0,-0.112,11,0.727,0.444,1.004,0.0078,0.0075,0.00014,2.19
12,12,KNN,ball_tree,61,uncalibrated,1.0,-0.11499980480187391,1.9523622840642094e-07,-0.112,11,0.619,0.448,1.089,0.0127,0.0079,0.00015,2.177
12,12,KNN,ball_tree,81,uncalibrated,1.0,-0.11499932346971792,6.478679700710999e-07,-0.112,11,0.725,0.448,1.069,0.0091,0.0101,0.0003,2.262
