transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03762,0.96988185,0.4031155945942191,0.05537398023431178,2.0,0.04532276151964282,0.012602300595100039,15.0,0.4534266346865098
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03764,0.9698692,0.4029261323753536,0.0568980933413602,2.0,0.0529457425205464,0.01327391492849642,15.0,0.5296210954048047
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03766,0.96985655,0.4007816990059514,0.057692469755882186,2.0,0.06108343638397553,0.013879181421709012,15.0,0.6103884135688712
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03768,0.9698439,0.3967047174154137,0.05769322278897651,2.0,0.06960387304444804,0.014403725662934627,15.0,0.6928728405512047
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0377,0.96983125,0.39075069432681847,0.0568574271489376,2.0,0.0783434138089577,0.014828513175143498,15.0,0.7733617091240754
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03772,0.9698186,0.38300458783515445,0.05516881334025936,2.0,0.08711134071496271,0.015129393793118494,15.0,0.8475403100621043
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03774,0.9698059499999999,0.3735759768894783,0.05264212209823546,2.0,0.095295469281296,0.015435145814370757,18.0,0.9109215619176733
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03776,0.9697933,0.3625937352948051,0.0493253693411225,2.0,0.10345708063501134,0.015685142924952624,18.0,0.9593855233953249
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03778,0.9697806499999999,0.3502009301142198,0.045299474768873776,2.0,0.11102395644914899,0.015666687649965184,18.0,0.989714699308653
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0378,0.969768,0.3365505255328011,0.04067504578643244,2.0,0.11777819413930185,0.015341470430956126,18.0,1.0
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03782,0.96975745,0.32353091862876254,0.036186641368096295,2.0,0.12292523358178202,0.014779569481815824,18.0,0.9919858463389287
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03784,0.9697469,0.31320386426198604,0.033076948159837485,4.0,0.12715085421350725,0.013961520531707568,18.0,0.968533387036663
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03786,0.96973635,0.2981527359536361,0.03218244857894234,4.0,0.1280590265609245,0.01327705597220443,5.0,0.931086852331718
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03788,0.9697258,0.2825119010620797,0.031525868492544414,4.0,0.13001931503386105,0.01272293906272601,5.0,0.8816849446668497
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0379,0.9697152499999999,0.2664387121079058,0.03104185964433162,4.0,0.13090475214430572,0.012016004002630616,5.0,0.8227595402877027
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03792,0.9697047,0.2500910345185762,0.03065597780554246,4.0,0.1306976579967431,0.011234554272030507,5.0,0.7569416221005091
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03794,0.9696941499999999,0.2343145786364984,0.030824160560126043,15.0,0.12940732010626965,0.010475451898684865,5.0,0.6868889523677042
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03796,0.9696836,0.21756348703061887,0.031021918217579415,15.0,0.12706958960383147,0.009845606250151922,5.0,0.6151398657433246
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03798,0.9696730499999999,0.20096763176545987,0.03120131496777845,15.0,0.123746674416345,0.009970451965118612,4.0,0.5439927790096228
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.038,0.9696625,0.1846579970567662,0.03132747858015923,15.0,0.11930648775926984,0.010654714081314673,4.0,0.47541124847268074
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03802,0.96965195,0.16875419714166331,0.03137231151791337,15.0,0.11408349522017192,0.011387502963414198,4.0,0.41095705339018207
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03804,0.9696414,0.15336321812327297,0.03131498927115075,15.0,0.10820527664956071,0.012084216580193801,4.0,0.35175559447802573
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03806,0.96963085,0.13885072448329322,0.03119800792006024,18.0,0.10180636866741712,0.012692838646883451,4.0,0.29849669508926296
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03808,0.9696203,0.12465137265532061,0.031101103474037984,18.0,0.09502315425661095,0.013188400506613449,4.0,0.25146961268132406
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0381,0.9696097499999999,0.11121152902628706,0.030816603525502913,18.0,0.08817742303390574,0.014226410712812863,15.0,0.21062555191614293
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03812,0.9695992,0.09858379726718264,0.030357395322519527,18.0,0.08086948531440696,0.015289999562157276,18.0,0.1756567002152921
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03814,0.9695886499999999,0.08680550879666202,0.02974005478852766,18.0,0.07330125028504433,0.016167335793526496,18.0,0.14607944882567966
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03816,0.9695781,0.07589935358066391,0.028983141602911447,18.0,0.06584012905670314,0.016844012356044203,18.0,0.12131115326342223
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03818,0.96956755,0.06587428862796815,0.028105862973041674,18.0,0.05859229142335704,0.017320696120570942,18.0,0.1007334186909627
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0382,0.969557,0.056726669020036646,0.027127114817567567,18.0,0.05164772550163329,0.017604465128794503,18.0,0.08373895726887279
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03822,0.96954805,0.04921028919785769,0.02617136773315285,18.0,0.0457002068889877,0.017704366965437993,18.0,0.0709988851712852
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03824,0.9695391,0.042378862435054974,0.02515985577051973,18.0,0.04010114173967448,0.017666514392865422,18.0,0.06034469006319879
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03826,0.96953015,0.03620879351154053,0.024104091464660273,18.0,0.034881260082906936,0.017502361895177638,18.0,0.05144460275959754
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.03828,0.9695212,0.030671669773288314,0.023014763372975432,18.0,0.03006083241188772,0.017224079096004475,18.0,0.04401105840318654
BCb,b_cb,LR,Logistic Regression,uncalibrated,0.0383,0.96951225,0.025735149530170726,0.02190181289182222,18.0,0.02565048938463546,0.016844241524193136,18.0,0.03779842834440298
