transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
AC,c_a,LR,Logistic Regression,uncalibrated,4.805,1.18435,0.04088670200917111,0.003243898665866992,86.0,0.03770390773290594,0.0027335553811596333,86.0,0.0510572449757476
AC,c_a,LR,Logistic Regression,uncalibrated,4.806,1.1845080000000001,0.036998566790645164,0.0031172933258770555,86.0,0.034358032979622144,0.002666201836534019,86.0,0.042577512612676796
AC,c_a,LR,Logistic Regression,uncalibrated,4.807,1.1846660000000002,0.03341598673087864,0.002989140108051908,86.0,0.031232866168596052,0.002591791730377731,86.0,0.03558150923239183
AC,c_a,LR,Logistic Regression,uncalibrated,4.808,1.184824,0.0301238202739274,0.0028598036755998414,86.0,0.028324931549757175,0.0025110067124358166,86.0,0.029814245500270068
AC,c_a,LR,Logistic Regression,uncalibrated,4.809,1.1849820000000002,0.027106625498076582,0.0027297272149576467,86.0,0.025629165795743074,0.002424608025317377,86.0,0.02505978653191219
AC,c_a,LR,Logistic Regression,uncalibrated,4.81,1.18514,0.02434878448753631,0.0025994194791111682,86.0,0.023139127327016014,0.0023334235360437565,86.0,0.021137324526073673
AC,c_a,LR,Logistic Regression,uncalibrated,4.811,1.1853010000000002,0.02178893009518978,0.002467010548310204,86.0,0.020805352612882588,0.002236522242764054,86.0,0.01784477152235389
AC,c_a,LR,Logistic Regression,uncalibrated,4.812,1.1854620000000002,0.01946570083282856,0.0023355858314549195,86.0,0.018668319705561945,0.0021365428082130607,86.0,0.015128833629589935
AC,c_a,LR,Logistic Regression,uncalibrated,4.813,1.185623,0.01736275820459052,0.0022057795132733077,86.0,0.01671813372790449,0.002034453955435887,86.0,0.012882952875288303
AC,c_a,LR,Logistic Regression,uncalibrated,4.814,1.1857840000000002,0.015464077347504306,0.002078217247949672,86.0,0.014944310404634719,0.0019312098153465933,86.0,0.011020415180630405
AC,c_a,LR,Logistic Regression,uncalibrated,4.815,1.185945,0.013754055185489967,0.001953496860298837,86.0,0.013335980811915534,0.001827727754107366,86.0,0.009470831475644235
