transition,model,feature_set,calibration,critical_parameter,critical_value,x,distance_from_critical,chi_err
AC,Logistic Regression,12,uncalibrated,K0_crit,4.77882069585482,4.79,0.011179304145180424,0.0032826405802076
AC,Logistic Regression,12,uncalibrated,K0_crit,4.77882069585482,4.76,0.018820695854819824,0.0052434065410823
AC,Logistic Regression,12,uncalibrated,K0_crit,4.77882069585482,4.75,0.02882069585481961,0.0074672972444474
AC,Logistic Regression,12,calibrated,K0_crit,4.77968789033005,4.78,0.00031210966995054434,0.0013725292191937
AC,Logistic Regression,12,calibrated,K0_crit,4.77968789033005,4.77,0.00968789033005013,0.0036512221422866
AC,Logistic Regression,12,calibrated,K0_crit,4.77968789033005,4.79,0.010312109669950331,0.0014923595696436
AC,Logistic Regression,12,calibrated,K0_crit,4.77968789033005,4.76,0.019687890330049918,0.0027291951831093
AC,Logistic Regression,12,calibrated,K0_crit,4.77968789033005,4.75,0.029687890330049704,0.0039933584031778
AC,Random Forest,30,uncalibrated,K0_crit,4.77983677102662,4.78,0.00016322897338039155,0.0012080042450938
AC,Random Forest,30,uncalibrated,K0_crit,4.77983677102662,4.77,0.009836771026620283,0.0024913741745574
AC,Random Forest,30,uncalibrated,K0_crit,4.77983677102662,4.79,0.010163228973380178,0.0017364463795924
AC,Random Forest,30,uncalibrated,K0_crit,4.77983677102662,4.76,0.01983677102662007,0.0017506972701614
AC,Random Forest,30,uncalibrated,K0_crit,4.77983677102662,4.75,0.029836771026619857,0.0010150512780932
AC,Random Forest,30,calibrated,K0_crit,4.77806209491088,4.78,0.0019379050891199512,0.0016908124167992
AC,Random Forest,30,calibrated,K0_crit,4.77806209491088,4.77,0.008062094910880724,0.005623099782259
AC,Random Forest,30,calibrated,K0_crit,4.77806209491088,4.79,0.011937905089119738,0.0048372840262575
AC,Random Forest,30,calibrated,K0_crit,4.77806209491088,4.76,0.01806209491088051,0.0044182246637652
AC,Random Forest,30,calibrated,K0_crit,4.77806209491088,4.75,0.028062094910880298,0.0018665713343989
AC,Random Forest,20,uncalibrated,K0_crit,4.78116235339328,4.78,0.001162353393279858,0.0012793809770187
AC,Random Forest,20,uncalibrated,K0_crit,4.78116235339328,4.79,0.008837646606719929,0.0014515465791369
AC,Random Forest,20,uncalibrated,K0_crit,4.78116235339328,4.77,0.011162353393280533,0.0019714109159114
AC,Random Forest,20,uncalibrated,K0_crit,4.78116235339328,4.76,0.02116235339328032,0.0012973152039272
AC,Random Forest,20,uncalibrated,K0_crit,4.78116235339328,4.81,0.028837646606719503,0.0012220785236708
AC,Random Forest,20,calibrated,K0_crit,4.78014229318481,4.78,0.0001422931848100717,0.0018059347136703
AC,Random Forest,20,calibrated,K0_crit,4.78014229318481,4.79,0.009857706815189715,0.0041334319114159
AC,Random Forest,20,calibrated,K0_crit,4.78014229318481,4.77,0.010142293184810747,0.0058896940719522
AC,Random Forest,20,calibrated,K0_crit,4.78014229318481,4.76,0.020142293184810534,0.0037608911205253
AC,Random Forest,20,calibrated,K0_crit,4.78014229318481,4.81,0.02985770681518929,0.0021153383464756
AC,Random Forest,12,uncalibrated,K0_crit,4.77521510987544,4.78,0.004784890124560626,0.0023194713129888
AC,Random Forest,12,uncalibrated,K0_crit,4.77521510987544,4.77,0.005215109875440049,0.0032101714850643
AC,Random Forest,12,uncalibrated,K0_crit,4.77521510987544,4.79,0.014784890124560413,0.0035812183393229
AC,Random Forest,12,uncalibrated,K0_crit,4.77521510987544,4.76,0.015215109875439836,0.0039474518067986
AC,Random Forest,12,uncalibrated,K0_crit,4.77521510987544,4.75,0.025215109875439623,0.0021389550677699
AC,Random Forest,12,calibrated,K0_crit,4.77377992393004,4.77,0.003779923930040674,0.0034885080574812
AC,Random Forest,12,calibrated,K0_crit,4.77377992393004,4.78,0.006220076069960001,0.0045790868862724
AC,Random Forest,12,calibrated,K0_crit,4.77377992393004,4.76,0.01377992393004046,0.0071964316562389
AC,Random Forest,12,calibrated,K0_crit,4.77377992393004,4.79,0.016220076069959788,0.0046041647416539
AC,Random Forest,12,calibrated,K0_crit,4.77377992393004,4.75,0.023779923930040248,0.0030527589131777
AC,Neural Network,30,uncalibrated,K0_crit,4.77503423846111,4.78,0.004965761538890057,0.0022515431983057
