transition,model,feature_set,chi_max_uncalibrated,chi_max_calibrated,ratio_calibrated_uncalibrated,relative_change,x_max_uncalibrated,x_max_calibrated,x_shift,chi_err_uncalibrated,chi_err_calibrated
AC,kNN kd_tree,20,0.183766737545807,0.21047558728129,1.145341045350089,0.14534104535008888,4.77,4.77,0.0,0.0028647023453973,0.0028893669257956
AC,kNN kd_tree,12,0.194533035939046,0.221183659603349,1.136997932179774,0.13699793217977413,4.77,4.77,0.0,0.0019210256063247,0.0018975714143182
BCb,Decision Tree,30,0.162922400142888,0.144908471610044,0.8894324628347898,-0.11056753716521012,0.0382,0.0382,0.0,0.0451682265645313,0.0402886117191644
BCb,Decision Tree,20,0.288747991143593,0.272983383800354,0.945403577421256,-0.054596422578744,0.0386,0.0386,0.0,0.0819652579496797,0.0759504713232939
BCb,Decision Tree,12,0.147774386984428,0.146977827051828,0.9946096211335734,-0.0053903788664265515,0.0378,0.0378,0.0,0.0336541184953244,0.0334490362339502
BCb,Gradient Boosted Trees,30,0.119516545137367,0.105778545101625,0.8850535712862838,-0.11494642871371615,0.0382,0.0382,0.0,0.03579051349509,0.0330248626158597
BCb,Gradient Boosted Trees,20,0.0964851199460489,0.0819011835750187,0.8488478184078019,-0.1511521815921981,0.0382,0.0382,0.0,0.0266350796930185,0.0223842756358111
BCb,Gradient Boosted Trees,12,0.137523949390105,0.130309126013838,0.94753769501048,-0.052462304989519974,0.0378,0.0378,0.0,0.0302249715412016,0.0279987719724763
BCb,Logistic Regression,30,0.117265628902339,0.0461352182496176,0.3934248993627951,-0.6065751006372049,0.0378,0.0378,0.0,0.0154344486070692,0.0085777921930413
BCb,Logistic Regression,20,0.0849124408917926,0.0490702878622825,0.577892795766109,-0.4221072042338911,0.0378,0.0382,0.0003999999999999976,0.0178384478055732,0.0111039496364706
BCb,Logistic Regression,12,0.109400506249684,0.0459337989987416,0.4198682489997552,-0.5801317510002447,0.0378,0.0378,0.0,0.0151654114936343,0.0085432583443438
BCb,Logistic Regression C = 0.00175,30,0.116799860438,0.0462330859826527,0.39583168857632556,-0.6041683114236744,0.0378,0.0378,0.0,0.0153783400231545,0.0085925880271463
BCb,Logistic Regression C = 0.00175,20,0.0836209074911467,0.0492007404696363,0.5883784563668529,-0.4116215436331471,0.0378,0.0382,0.0003999999999999976,0.0177547362925837,0.0111148398731058
BCb,Logistic Regression C = 0.00175,12,0.112031857837172,0.045922211412197,0.4099031498606469,-0.5900968501393531,0.0378,0.0378,0.0,0.0155757959029333,0.0085415080272076
BCb,Neural Network,30,0.232865471544114,0.0265978539576541,0.11421982735905699,-0.885780172640943,0.0378,0.0382,0.0003999999999999976,0.020624508944102,0.0075173136685043
BCb,Neural Network,20,0.1985967345877,0.0835576866739977,0.4207404862293884,-0.5792595137706116,0.0374,0.0382,0.0007999999999999952,0.0733105967944097,0.0074801156829795
BCb,Neural Network,12,0.293357958885948,0.0490413585502575,0.16717241535391186,-0.8328275846460882,0.0386,0.0382,-0.0004000000000000045,0.0183892177045583,0.0153295014527205
BCb,Random Forest,30,0.0335885798338436,0.106234007438226,3.1628014034456267,2.1628014034456267,0.0378,0.0378,0.0,0.0075586409261179,0.0275712964923428
BCb,Random Forest,20,0.0205439857858752,0.0818808149133869,3.985634324653943,2.985634324653943,0.0382,0.0382,0.0,0.0057450713459761,0.0178961157522896
BCb,Random Forest,12,0.0911278961074643,0.134018174354211,1.4706602487142635,0.4706602487142635,0.0378,0.0378,0.0,0.0201854509107464,0.0314609141439309
BCb,SVM (RBF),30,0.0637945716219981,0.0518271510970139,0.8124069145585812,-0.1875930854414188,0.0378,0.0378,0.0,0.0105930447853229,0.0093460842083731
BCb,SVM (RBF),20,0.0568126943937066,0.0464054905696,0.8168155209822358,-0.18318447901776425,0.0378,0.0378,0.0,0.009769348190707,0.0085759885650592
BCb,SVM (RBF),12,0.0645840062686057,0.0524756865333273,0.8125182930752275,-0.18748170692477253,0.0378,0.0378,0.0,0.0106855119859161,0.0094369534266717
BCb,kNN,30,0.117232873761508,0.119155797701538,1.016402600041537,0.016402600041536933,0.0382,0.0382,0.0,0.040659575532015,0.0411021239236036
BCb,kNN,20,0.182798478586369,0.182399613060436,0.9978180041266342,-0.0021819958733657243,0.0382,0.0382,0.0,0.0446160954489916,0.0446571133514381
BCb,kNN,12,0.129334556903296,0.130756978156871,1.010997998428514,0.01099799842851398,0.0378,0.0378,0.0,0.0329335452508506,0.0332919445244103
BCb,kNN ball_tree,30,0.117232873761508,0.119155797701538,1.016402600041537,0.016402600041536933,0.0382,0.0382,0.0,0.040659575532015,0.0411021239236036
BCb,kNN ball_tree,20,0.182798478586369,0.182399613060436,0.9978180041266342,-0.0021819958733657243,0.0382,0.0382,0.0,0.0446160954489916,0.0446571133514381
