transition,model,feature_set,calibration,P_min,P_max,x_at_P_min,x_at_P_max,distance_from_0,distance_from_1
BCb,kNN,20,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,kNN,20,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,kNN,12,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,kNN,12,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,kNN ball_tree,30,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,kNN ball_tree,30,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,kNN ball_tree,20,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,kNN ball_tree,20,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,kNN ball_tree,12,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,kNN ball_tree,12,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,kNN kd_tree,30,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,kNN kd_tree,30,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,kNN kd_tree,20,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,kNN kd_tree,20,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
BCb,kNN kd_tree,12,uncalibrated,0.0,1.0,0.036,0.039,0.0,0.0
BCb,kNN kd_tree,12,calibrated,0.0002216508785843,0.999804824711357,0.036,0.041,0.0002216508785843,0.00019517528864299027
