stride,feature_set,n_features,model,Delta,chi,chi_err
1000,30,30,MeanShift,-0.11,0.156071964017991,0.101127855214026
1000,30,30,MeanShift,-0.108,0.159261790840738,0.0734492619107042
500,30,30,MeanShift,-0.128,0,0
500,30,30,MeanShift,-0.126,0,0
500,30,30,MeanShift,-0.124,0,0
500,30,30,MeanShift,-0.122,0,0
500,30,30,MeanShift,-0.12,0,0
500,30,30,MeanShift,-0.118,0,0
500,30,30,MeanShift,-0.116,0,0
500,30,30,MeanShift,-0.114,0.184086814086814,0.0842334634064071
500,30,30,MeanShift,-0.112,0.15669744413221,0.0509475462167029
500,30,30,MeanShift,-0.11,0.13624834715711,0.0713295029637716
500,30,30,MeanShift,-0.108,0.0940505015565548,0.0529197485987361
250,30,30,MeanShift,-0.128,0,0
250,30,30,MeanShift,-0.126,0,0
250,30,30,MeanShift,-0.124,0,0
250,30,30,MeanShift,-0.122,0,0
250,30,30,MeanShift,-0.12,0,0
250,30,30,MeanShift,-0.118,0,0
250,30,30,MeanShift,-0.116,0,0
250,30,30,MeanShift,-0.114,0.190338099895451,0.0932029023199161
250,30,30,MeanShift,-0.112,0.142390529903084,0.057353178164416
250,30,30,MeanShift,-0.11,0.122633053221288,0.0666759573396984
250,30,30,MeanShift,-0.108,0.0885013400321172,0.0488449434687733
100,30,30,MeanShift,-0.128,0,0
100,30,30,MeanShift,-0.126,0,0
100,30,30,MeanShift,-0.124,0,0
100,30,30,MeanShift,-0.122,0,0
100,30,30,MeanShift,-0.12,0,0
100,30,30,MeanShift,-0.118,0,0
100,30,30,MeanShift,-0.116,0,0
100,30,30,MeanShift,-0.114,0.192528950950028,0.0815264317053178
100,30,30,MeanShift,-0.112,0.145898490955525,0.0547120143666127
100,30,30,MeanShift,-0.11,0.120770117033534,0.0557170635060033
100,30,30,MeanShift,-0.108,0.0843441846915738,0.0410362184426297
50,30,30,MeanShift,-0.128,0,0
50,30,30,MeanShift,-0.126,0,0
50,30,30,MeanShift,-0.124,0,0
50,30,30,MeanShift,-0.122,0,0
50,30,30,MeanShift,-0.12,0,0
50,30,30,MeanShift,-0.118,0,0
50,30,30,MeanShift,-0.116,0,0
50,30,30,MeanShift,-0.114,0.190554220442071,0.0797671889458024
50,30,30,MeanShift,-0.112,0.149127954736397,0.0530512430500052
50,30,30,MeanShift,-0.11,0.115405413569124,0.0541737743625466
50,30,30,MeanShift,-0.108,0.0774224166426081,0.0415190140170314
5000,30,30,Birch,-0.128,0,0
5000,30,30,Birch,-0.126,0,0
5000,30,30,Birch,-0.124,0,0
5000,30,30,Birch,-0.122,0,0
5000,30,30,Birch,-0.12,0,0
5000,30,30,Birch,-0.118,0,0
5000,30,30,Birch,-0.116,0,0
5000,30,30,Birch,-0.114,0,0
5000,30,30,Birch,-0.112,0,0
5000,30,30,Birch,-0.11,0,0
5000,30,30,Birch,-0.108,0,0
1000,30,30,Birch,-0.128,0,0
1000,30,30,Birch,-0.126,0,0
1000,30,30,Birch,-0.124,0,0
1000,30,30,Birch,-0.122,0,0
1000,30,30,Birch,-0.12,0,0
1000,30,30,Birch,-0.118,0,0
1000,30,30,Birch,-0.116,0,0
1000,30,30,Birch,-0.114,0,0
1000,30,30,Birch,-0.112,0,0
1000,30,30,Birch,-0.11,0,0
1000,30,30,Birch,-0.108,0,0
500,30,30,Birch,-0.128,0,0
500,30,30,Birch,-0.126,0,0
500,30,30,Birch,-0.124,0,0
500,30,30,Birch,-0.122,0,0
500,30,30,Birch,-0.12,0,0
500,30,30,Birch,-0.118,0,0
500,30,30,Birch,-0.116,0,0
500,30,30,Birch,-0.114,0,0
500,30,30,Birch,-0.112,0,0
500,30,30,Birch,-0.11,0,0
500,30,30,Birch,-0.108,0,0
250,30,30,Birch,-0.128,0,0
250,30,30,Birch,-0.126,0,0
250,30,30,Birch,-0.124,0,0
250,30,30,Birch,-0.122,0,0
250,30,30,Birch,-0.12,0,0
250,30,30,Birch,-0.118,0,0
250,30,30,Birch,-0.116,0,0
250,30,30,Birch,-0.114,0,0
250,30,30,Birch,-0.112,0,0
250,30,30,Birch,-0.11,0,0
250,30,30,Birch,-0.108,0,0
100,30,30,Birch,-0.128,0,0
100,30,30,Birch,-0.126,0,0
100,30,30,Birch,-0.124,0,0
100,30,30,Birch,-0.122,0,0
100,30,30,Birch,-0.12,0,0
100,30,30,Birch,-0.118,0,0
100,30,30,Birch,-0.116,0,0
100,30,30,Birch,-0.114,0,0
100,30,30,Birch,-0.112,0,0
100,30,30,Birch,-0.11,0,0
100,30,30,Birch,-0.108,0,0
50,30,30,Birch,-0.128,0,0
50,30,30,Birch,-0.126,0,0
50,30,30,Birch,-0.124,0,0
50,30,30,Birch,-0.122,0,0
50,30,30,Birch,-0.12,0,0
50,30,30,Birch,-0.118,0,0
50,30,30,Birch,-0.116,0,0
50,30,30,Birch,-0.114,0,0
50,30,30,Birch,-0.112,0,0
50,30,30,Birch,-0.11,0,0
50,30,30,Birch,-0.108,0,0
10,30,30,Birch,-0.128,0,0
10,30,30,Birch,-0.126,0,0
10,30,30,Birch,-0.124,0,0
10,30,30,Birch,-0.122,0,0
10,30,30,Birch,-0.12,0,0
10,30,30,Birch,-0.118,0,0
10,30,30,Birch,-0.116,0,0
10,30,30,Birch,-0.114,0,0
10,30,30,Birch,-0.112,0,0
10,30,30,Birch,-0.11,0,0
10,30,30,Birch,-0.108,0,0
5000,30,30,BayesianGMM,-0.128,0,0
5000,30,30,BayesianGMM,-0.126,0,0
5000,30,30,BayesianGMM,-0.124,0,0
5000,30,30,BayesianGMM,-0.122,0,0
5000,30,30,BayesianGMM,-0.12,0,0
5000,30,30,BayesianGMM,-0.118,0,0
5000,30,30,BayesianGMM,-0.116,0,0
5000,30,30,BayesianGMM,-0.114,0.1,0.1
5000,30,30,BayesianGMM,-0.112,0.3,0.0816496580927726
5000,30,30,BayesianGMM,-0.11,0,0
5000,30,30,BayesianGMM,-0.108,0.25,0.25
1000,30,30,BayesianGMM,-0.128,0,0
1000,30,30,BayesianGMM,-0.126,0,0
1000,30,30,BayesianGMM,-0.124,0,0
1000,30,30,BayesianGMM,-0.122,0,0
1000,30,30,BayesianGMM,-0.12,0,0
1000,30,30,BayesianGMM,-0.118,0,0
1000,30,30,BayesianGMM,-0.116,0,0
1000,30,30,BayesianGMM,-0.114,0,0
1000,30,30,BayesianGMM,-0.112,0,0
1000,30,30,BayesianGMM,-0.11,0,0
1000,30,30,BayesianGMM,-0.108,0,0
500,30,30,BayesianGMM,-0.128,0,0
500,30,30,BayesianGMM,-0.126,0,0
500,30,30,BayesianGMM,-0.124,0,0
500,30,30,BayesianGMM,-0.122,0,0
500,30,30,BayesianGMM,-0.12,0,0
500,30,30,BayesianGMM,-0.118,0,0
500,30,30,BayesianGMM,-0.116,0,0
500,30,30,BayesianGMM,-0.114,0,0
500,30,30,BayesianGMM,-0.112,0,0
500,30,30,BayesianGMM,-0.11,0,0
500,30,30,BayesianGMM,-0.108,0,0
250,30,30,BayesianGMM,-0.128,0,0
250,30,30,BayesianGMM,-0.126,0,0
250,30,30,BayesianGMM,-0.124,0,0
250,30,30,BayesianGMM,-0.122,0,0
250,30,30,BayesianGMM,-0.12,0,0
250,30,30,BayesianGMM,-0.118,0,0
250,30,30,BayesianGMM,-0.116,0,0
250,30,30,BayesianGMM,-0.114,0,0
250,30,30,BayesianGMM,-0.112,0,0
250,30,30,BayesianGMM,-0.11,0,0
