stride,feature_set,n_features,model,Delta,mean,mean_err
1000,20,20,KMeans,-0.112,0.571428571428571,0.210280020626853
1000,20,20,KMeans,-0.11,0.7,0.2
1000,20,20,KMeans,-0.108,0.666666666666667,0.2
500,20,20,KMeans,-0.128,1,0
500,20,20,KMeans,-0.126,0,0
500,20,20,KMeans,-0.124,0,0
500,20,20,KMeans,-0.122,1,0
500,20,20,KMeans,-0.12,1,0
500,20,20,KMeans,-0.118,0,0
500,20,20,KMeans,-0.116,0,0
500,20,20,KMeans,-0.114,0.707070707070707,0.158749834803048
500,20,20,KMeans,-0.112,0.566666666666666,0.233333333333333
500,20,20,KMeans,-0.11,0.7,0.202072594216369
500,20,20,KMeans,-0.108,0.6,0.266666666666667
250,20,20,KMeans,-0.128,0,0
250,20,20,KMeans,-0.126,1,0
250,20,20,KMeans,-0.124,1,0
250,20,20,KMeans,-0.122,0,0
250,20,20,KMeans,-0.12,0,0
250,20,20,KMeans,-0.118,1,0
250,20,20,KMeans,-0.116,1,0
250,20,20,KMeans,-0.114,0.297979797979798,0.180197603786983
250,20,20,KMeans,-0.112,0.45,0.232289331079439
250,20,20,KMeans,-0.11,0.325,0.240225588423326
250,20,20,KMeans,-0.108,0.433333333333333,0.283333333333333
100,20,20,KMeans,-0.128,0,0
100,20,20,KMeans,-0.126,1,0
100,20,20,KMeans,-0.124,1,0
100,20,20,KMeans,-0.122,0,0
100,20,20,KMeans,-0.12,0,0
100,20,20,KMeans,-0.118,1,0
100,20,20,KMeans,-0.116,1,0
100,20,20,KMeans,-0.114,0.34136546184739,0.165208700177322
100,20,20,KMeans,-0.112,0.473333333333333,0.240300737502914
100,20,20,KMeans,-0.11,0.356666666666667,0.224820916385563
100,20,20,KMeans,-0.108,0.446666666666667,0.273333333333333
50,20,20,KMeans,-0.128,0,0
50,20,20,KMeans,-0.126,1,0
50,20,20,KMeans,-0.124,1,0
50,20,20,KMeans,-0.122,0,0
50,20,20,KMeans,-0.12,0,0
50,20,20,KMeans,-0.118,1,0
50,20,20,KMeans,-0.116,1,0
50,20,20,KMeans,-0.114,0.325325325325325,0.157405617053623
50,20,20,KMeans,-0.112,0.463333333333333,0.236190836213243
50,20,20,KMeans,-0.11,0.336666666666667,0.228880123888273
50,20,20,KMeans,-0.108,0.443333333333333,0.28
10,20,20,KMeans,-0.128,0,0
10,20,20,KMeans,-0.126,1,0
10,20,20,KMeans,-0.124,1,0
10,20,20,KMeans,-0.122,0,0
10,20,20,KMeans,-0.12,0,0
10,20,20,KMeans,-0.118,1,0
10,20,20,KMeans,-0.116,1,0
10,20,20,KMeans,-0.114,0.323729491796719,0.156958034894817
10,20,20,KMeans,-0.112,0.465333333333333,0.235899931703631
10,20,20,KMeans,-0.11,0.329333333333333,0.228260328961863
10,20,20,KMeans,-0.108,0.438666666666667,0.278666666666667
1,20,20,KMeans,-0.128,0,0
1,20,20,KMeans,-0.126,1,0
1,20,20,KMeans,-0.124,1,0
1,20,20,KMeans,-0.122,0,0
1,20,20,KMeans,-0.12,0,0
1,20,20,KMeans,-0.118,1,0
1,20,20,KMeans,-0.116,1,0
1,20,20,KMeans,-0.114,0.325453490930181,0.157840845919961
1,20,20,KMeans,-0.112,0.464966666666667,0.234443755396565
1,20,20,KMeans,-0.11,0.329766666666667,0.22801485575384
1,20,20,KMeans,-0.108,0.438666666666667,0.277133333333333
5000,20,20,Agglomerative,-0.128,0,0
5000,20,20,Agglomerative,-0.126,1,0
5000,20,20,Agglomerative,-0.124,1,0
5000,20,20,Agglomerative,-0.122,0,0
5000,20,20,Agglomerative,-0.12,0,0
5000,20,20,Agglomerative,-0.118,1,0
5000,20,20,Agglomerative,-0.116,1,0
5000,20,20,Agglomerative,-0.114,0.666666666666667,0.192450089729875
5000,20,20,Agglomerative,-0.112,0.75,0.25
5000,20,20,Agglomerative,-0.11,0.8,0.2
5000,20,20,Agglomerative,-0.108,0.75,0.25
1000,20,20,Agglomerative,-0.128,0,0
1000,20,20,Agglomerative,-0.126,1,0
1000,20,20,Agglomerative,-0.124,1,0
1000,20,20,Agglomerative,-0.122,0,0
1000,20,20,Agglomerative,-0.12,0,0
1000,20,20,Agglomerative,-0.118,1,0
1000,20,20,Agglomerative,-0.116,1,0
1000,20,20,Agglomerative,-0.114,1,0
1000,20,20,Agglomerative,-0.112,1,0
1000,20,20,Agglomerative,-0.11,1,0
1000,20,20,Agglomerative,-0.108,1,0
500,20,20,Agglomerative,-0.128,0,0
500,20,20,Agglomerative,-0.126,1,0
500,20,20,Agglomerative,-0.124,1,0
500,20,20,Agglomerative,-0.122,0,0
500,20,20,Agglomerative,-0.12,0,0
500,20,20,Agglomerative,-0.118,1,0
500,20,20,Agglomerative,-0.116,1,0
500,20,20,Agglomerative,-0.114,1,0
500,20,20,Agglomerative,-0.112,1,0
500,20,20,Agglomerative,-0.11,1,0
500,20,20,Agglomerative,-0.108,1,0
250,20,20,Agglomerative,-0.128,0,0
250,20,20,Agglomerative,-0.126,1,0
250,20,20,Agglomerative,-0.124,1,0
250,20,20,Agglomerative,-0.122,0,0
250,20,20,Agglomerative,-0.12,0,0
250,20,20,Agglomerative,-0.118,1,0
250,20,20,Agglomerative,-0.116,1,0
250,20,20,Agglomerative,-0.114,1,0
250,20,20,Agglomerative,-0.112,1,0
250,20,20,Agglomerative,-0.11,1,0
250,20,20,Agglomerative,-0.108,1,0
100,20,20,Agglomerative,-0.128,0,0
100,20,20,Agglomerative,-0.126,1,0
100,20,20,Agglomerative,-0.124,1,0
100,20,20,Agglomerative,-0.122,0,0
100,20,20,Agglomerative,-0.12,0,0
100,20,20,Agglomerative,-0.118,1,0
100,20,20,Agglomerative,-0.116,1,0
100,20,20,Agglomerative,-0.114,1,0
100,20,20,Agglomerative,-0.112,1,0
100,20,20,Agglomerative,-0.11,1,0
100,20,20,Agglomerative,-0.108,1,0
