stride,feature_set,n_features,model,Delta,mean,mean_err
500,12,12,GaussianMixture,0.041,1,0
100,12,12,MeanShift,0.036,0,0
100,12,12,MeanShift,0.0366,0,0
100,12,12,MeanShift,0.037,0,0
100,12,12,MeanShift,0.0374,0,0
100,12,12,MeanShift,0.0378,0,0
100,12,12,MeanShift,0.0382,0.076,0.074
100,12,12,MeanShift,0.0386,0.296875,0.215625
100,12,12,MeanShift,0.039,0.99377990430621,0.00376358722765973
100,12,12,MeanShift,0.0394,1,0
100,12,12,MeanShift,0.0398,1,0
100,12,12,MeanShift,0.0402,1,0
100,12,12,MeanShift,0.041,1,0
10,12,12,DBSCAN,0.036,0,0
10,12,12,DBSCAN,0.0366,0,0
10,12,12,DBSCAN,0.037,0,0
10,12,12,DBSCAN,0.0374,0,0
10,12,12,DBSCAN,0.0378,0,0
10,12,12,DBSCAN,0.0382,0,0
10,12,12,DBSCAN,0.0386,0,0
10,12,12,DBSCAN,0.039,4.73933649289093E-05,4.73933649289099E-05
10,12,12,DBSCAN,0.0394,0,0
10,12,12,DBSCAN,0.0398,0,0
10,12,12,DBSCAN,0.0402,0,0
10,12,12,DBSCAN,0.041,0.000480923372875922,0.000320615581917281
50,12,12,Birch,0.036,0,0
50,12,12,Birch,0.0366,0,0
50,12,12,Birch,0.037,0,0
50,12,12,Birch,0.0374,0,0
50,12,12,Birch,0.0378,0.00100908173562059,0.00100908173562059
50,12,12,Birch,0.0382,0.059,0.05
50,12,12,Birch,0.0386,0.225,0.12417697803941
50,12,12,Birch,0.039,0.912583390844261,0.0420891982137842
50,12,12,Birch,0.0394,0.99221183800623,0.00473735399555945
50,12,12,Birch,0.0398,1,0
50,12,12,Birch,0.0402,1,0
50,12,12,Birch,0.041,1,0
1000,12,12,BayesianGMM,0.036,1.6552182360438E-65,1.18753188524468E-65
1000,12,12,BayesianGMM,0.0366,2.99580238995512E-39,2.99576504426176E-39
1000,12,12,BayesianGMM,0.037,1.48779742509402E-22,1.48779345668837E-22
1000,12,12,BayesianGMM,0.0374,6.80123736303918E-11,6.67930293940152E-11
1000,12,12,BayesianGMM,0.0378,2.75307179355315E-05,2.70961234347166E-05
1000,12,12,BayesianGMM,0.0382,0.216162563762753,0.170087629383415
1000,12,12,BayesianGMM,0.0386,0.620915346321156,0.181585047086078
1000,12,12,BayesianGMM,0.039,0.999999202958502,7.33143984456668E-07
1000,12,12,BayesianGMM,0.0394,0.999999999999968,3.23127037017507E-15
1000,12,12,BayesianGMM,0.0398,1,0
1000,12,12,BayesianGMM,0.0402,1,0
1000,12,12,BayesianGMM,0.041,1,0
