stride,feature_set,n_features,model,Delta,chi,chi_err
1000,30,30,MeanShift,0.0374,0,0
1000,30,30,MeanShift,0.0378,0,0
1000,30,30,MeanShift,0.0382,0.0329758594818835,0.032172646630478
1000,30,30,MeanShift,0.0386,0.1114679058758,0.0826536024596997
1000,30,30,MeanShift,0.039,0.0136034961731701,0.0094843624710051
1000,30,30,MeanShift,0.0394,0,0
1000,30,30,MeanShift,0.0398,0,0
1000,30,30,MeanShift,0.0402,0,0
1000,30,30,MeanShift,0.041,0,0
500,30,30,MeanShift,0.036,0,0
500,30,30,MeanShift,0.0366,0,0
500,30,30,MeanShift,0.037,0,0
500,30,30,MeanShift,0.0374,0,0
500,30,30,MeanShift,0.0378,0,0
500,30,30,MeanShift,0.0382,0.263268861083943,0.0623228567802036
500,30,30,MeanShift,0.0386,0.167446762601869,0.0664213262214263
500,30,30,MeanShift,0.039,0,0
500,30,30,MeanShift,0.0394,0,0
500,30,30,MeanShift,0.0398,0,0
500,30,30,MeanShift,0.0402,0,0
500,30,30,MeanShift,0.041,0,0
250,30,30,MeanShift,0.036,0,0
250,30,30,MeanShift,0.0366,0,0
250,30,30,MeanShift,0.037,0,0
250,30,30,MeanShift,0.0374,0,0
250,30,30,MeanShift,0.0378,0,0
250,30,30,MeanShift,0.0382,0.0306146173884572,0.0296846011131725
250,30,30,MeanShift,0.0386,0.160966724048192,0.104460023311669
250,30,30,MeanShift,0.039,0.0215858720160265,0.0143227925207903
250,30,30,MeanShift,0.0394,0,0
250,30,30,MeanShift,0.0398,0,0
250,30,30,MeanShift,0.0402,0,0
250,30,30,MeanShift,0.041,0,0
100,30,30,MeanShift,0.036,0,0
100,30,30,MeanShift,0.0366,0,0
100,30,30,MeanShift,0.037,0,0
100,30,30,MeanShift,0.0374,0,0
100,30,30,MeanShift,0.0378,0,0
100,30,30,MeanShift,0.0382,0.028169914113713,0.0272752850830009
100,30,30,MeanShift,0.0386,0.139984826504308,0.0956738773177646
100,30,30,MeanShift,0.039,0.0208368679666242,0.0111013316541691
100,30,30,MeanShift,0.0394,0,0
100,30,30,MeanShift,0.0398,0,0
100,30,30,MeanShift,0.0402,0,0
100,30,30,MeanShift,0.041,0,0
5000,30,30,Birch,0.036,0,0
5000,30,30,Birch,0.0366,0,0
5000,30,30,Birch,0.037,0,0
5000,30,30,Birch,0.0374,0,0
5000,30,30,Birch,0.0378,0,0
5000,30,30,Birch,0.0382,0.143856143856144,0.12987012987013
5000,30,30,Birch,0.0386,0.1,0.1
5000,30,30,Birch,0.039,0,0
5000,30,30,Birch,0.0394,0,0
5000,30,30,Birch,0.0398,0,0
5000,30,30,Birch,0.0402,0,0
5000,30,30,Birch,0.041,0,0
1000,30,30,Birch,0.036,0,0
1000,30,30,Birch,0.0366,0,0
1000,30,30,Birch,0.037,0,0
1000,30,30,Birch,0.0374,0,0
1000,30,30,Birch,0.0378,0.0404230689944976,0.0385392385392385
1000,30,30,Birch,0.0382,0.208290768797893,0.0423833640913161
1000,30,30,Birch,0.0386,0,0
1000,30,30,Birch,0.039,0,0
1000,30,30,Birch,0.0394,0,0
1000,30,30,Birch,0.0398,0,0
1000,30,30,Birch,0.0402,0,0
1000,30,30,Birch,0.041,0,0
500,30,30,Birch,0.036,0,0
500,30,30,Birch,0.0366,0,0
500,30,30,Birch,0.037,0,0
500,30,30,Birch,0.0374,0.193901071011624,0.104292929292929
500,30,30,Birch,0.0378,0.179427131566363,0.0453514739229025
500,30,30,Birch,0.0382,0,0
500,30,30,Birch,0.0386,0,0
500,30,30,Birch,0.039,0,0
500,30,30,Birch,0.0394,0,0
500,30,30,Birch,0.0398,0,0
500,30,30,Birch,0.0402,0,0
500,30,30,Birch,0.041,0,0
250,30,30,Birch,0.036,0,0
250,30,30,Birch,0.0366,0,0
250,30,30,Birch,0.037,0,0
250,30,30,Birch,0.0374,0,0
250,30,30,Birch,0.0378,0.0322175647800136,0.0204588334175719
250,30,30,Birch,0.0382,0.230882230702384,0.0496482412060302
250,30,30,Birch,0.0386,0.00919236574408953,0.00676857453097918
250,30,30,Birch,0.039,0,0
250,30,30,Birch,0.0394,0,0
250,30,30,Birch,0.0398,0,0
250,30,30,Birch,0.0402,0,0
250,30,30,Birch,0.041,0,0
100,30,30,Birch,0.036,0,0
100,30,30,Birch,0.0366,0,0
100,30,30,Birch,0.037,0,0
100,30,30,Birch,0.0374,0,0
100,30,30,Birch,0.0378,0,0
100,30,30,Birch,0.0382,0.0590045733316762,0.0544312416555407
100,30,30,Birch,0.0386,0.235497529989344,0.11128638958574
100,30,30,Birch,0.039,0.00368317186990415,0.00316795976067886
100,30,30,Birch,0.0394,0,0
100,30,30,Birch,0.0398,0,0
100,30,30,Birch,0.0402,0,0
100,30,30,Birch,0.041,0,0
50,30,30,Birch,0.036,0,0
50,30,30,Birch,0.0366,0,0
50,30,30,Birch,0.037,0,0
50,30,30,Birch,0.0374,0,0
50,30,30,Birch,0.0378,0,0
50,30,30,Birch,0.0382,0.0590023036868668,0.0543949299533022
50,30,30,Birch,0.0386,0.225044717716597,0.115167692841726
50,30,30,Birch,0.039,0.00390095965030906,0.00251127092514091
50,30,30,Birch,0.0394,0,0
50,30,30,Birch,0.0398,0,0
50,30,30,Birch,0.0402,0,0
50,30,30,Birch,0.041,0,0
5000,30,30,BayesianGMM,0.036,0,0
5000,30,30,BayesianGMM,0.0366,0,0
5000,30,30,BayesianGMM,0.037,0,0
5000,30,30,BayesianGMM,0.0374,4.10764239173692E-14,4.10764104561999E-14
5000,30,30,BayesianGMM,0.0378,0.111701756736873,0.101008111691964
