feature_set,n_features,model,calibration,Delta,chi,chi_err
20,20,Random Forest,uncalibrated,0.036,0,0
20,20,Random Forest,uncalibrated,0.0366,0.000574659851154392,0.000243708755870897
20,20,Random Forest,uncalibrated,0.037,0.00687864444354954,0.000398057546849601
20,20,Random Forest,uncalibrated,0.0374,0.000583344647412966,0.0004883952750055
20,20,Random Forest,uncalibrated,0.0378,0.0102328058546274,0.00294214755408148
20,20,Random Forest,uncalibrated,0.0382,0.0205439857858752,0.00574507134597612
20,20,Random Forest,uncalibrated,0.0386,0.0169115996095111,0.00719275369633515
20,20,Random Forest,uncalibrated,0.039,0.00508235965956166,0.00256349939159374
20,20,Random Forest,uncalibrated,0.0394,4.8895026894001E-05,4.51601699714107E-05
20,20,Random Forest,uncalibrated,0.0398,0,0
20,20,Random Forest,uncalibrated,0.0402,0,0
20,20,Random Forest,uncalibrated,0.041,0,0
20,20,Gradient Boosted Trees,calibrated,0.036,-3.31345468875246E-37,2.48989749328198E-53
20,20,Gradient Boosted Trees,calibrated,0.0366,4.73539551624764E-06,2.59758031964028E-06
20,20,Gradient Boosted Trees,calibrated,0.037,9.71235193157905E-05,2.45526169108695E-06
20,20,Gradient Boosted Trees,calibrated,0.0374,0.000123669643126737,0.000108427875109954
