feature_set,n_features,model,algorithm,n_neighbors,calibration,train_acc,Delta_crit,Delta_crit_err,Delta_close,N_Delta,runtime_model,runtime_jackknife_mean,runtime_jackknife_chi,summary_mean_time,summary_chi_time,runtime_delta_crit,runtime_total
20,20,KNN,brute,41,uncalibrated,1,0.0380407923003973,3.4091593189693E-05,0.0382,12,10.521,0.539,1.148,0.0087,0.0083,0.00015,12.224
20,20,KNN,brute,43,uncalibrated,1,0.0380404448440439,3.40071880570714E-05,0.0382,12,10.63,0.532,1.139,0.0088,0.0085,0.00015,12.319
20,20,KNN,brute,45,uncalibrated,1,0.0380401037282336,3.39520715481878E-05,0.0382,12,10.431,0.48,1.054,0.0083,0.0079,0.00015,11.982
20,20,KNN,brute,47,uncalibrated,1,0.0380398277643302,3.39141545564961E-05,0.0382,12,11.015,0.483,1.05,0.0081,0.0079,0.0002,12.564
20,20,KNN,brute,49,uncalibrated,1,0.0380395791775811,3.38082094594467E-05,0.0382,12,11.744,0.499,1.103,0.0086,0.0084,0.00016,13.364
20,20,KNN,brute,51,uncalibrated,1,0.0380393060125636,3.37091165930631E-05,0.0382,12,10.512,0.518,1.127,0.0088,0.0085,0.00016,12.175
20,20,KNN,brute,61,uncalibrated,1,0.0380381362776007,3.34023625001271E-05,0.0382,12,10.576,0.509,1.114,0.0087,0.0083,0.00016,12.216
20,20,KNN,brute,81,uncalibrated,1,0.0380362636172286,3.2899171215045E-05,0.0382,12,10.778,0.511,1.101,0.0085,0.0083,0.00016,12.406
20,20,KNN,brute,101,uncalibrated,1,0.0380346674600635,3.24505849433615E-05,0.0382,12,10.597,0.513,1.066,0.008,0.008,0.00015,12.192
20,20,KNN,brute,151,uncalibrated,1,0.0380319268677569,3.17347320492473E-05,0.0382,12,10.902,0.494,1.049,0.0091,0.0092,0.00029,12.463
20,20,KNN,brute,201,uncalibrated,1,0.0380302468999312,3.1401818181852E-05,0.0382,12,10.647,0.511,1.097,0.0083,0.0083,0.00016,12.272
12,12,KNN,auto,1,uncalibrated,1,0.0379883307783498,2.76550121179462E-05,0.0378,12,0.136,0.825,1.566,0.0099,0.0098,0.00017,2.547
12,12,KNN,auto,3,uncalibrated,1,0.0379896951500468,2.69354858996239E-05,0.0378,12,0.283,0.623,1.29,0.0176,0.0166,0.00031,2.231
12,12,KNN,auto,5,uncalibrated,1,0.0379900955758312,2.66276280169214E-05,0.0378,12,0.287,0.663,1.271,0.0106,0.0109,0.00021,2.242
12,12,KNN,auto,7,uncalibrated,1,0.0379887887080605,2.67662845667973E-05,0.0378,12,0.356,0.62,1.772,0.0118,0.0117,0.00024,2.772
12,12,KNN,auto,9,uncalibrated,1,0.0379880873848524,2.68812073158101E-05,0.0378,12,0.296,0.566,1.275,0.0091,0.0086,0.00016,2.155
12,12,KNN,auto,11,uncalibrated,1,0.0379870020586518,2.6846160984645E-05,0.0378,12,0.382,0.549,1.269,0.0091,0.0088,0.00018,2.219
12,12,KNN,auto,13,uncalibrated,1,0.0379863806929294,2.69958919132943E-05,0.0378,12,0.394,0.6,1.397,0.0105,0.0102,0.00028,2.411
12,12,KNN,auto,15,uncalibrated,1,0.0379855506334085,2.7070455182981E-05,0.0378,12,0.38,0.617,1.431,0.0098,0.0098,0.00019,2.448
12,12,KNN,auto,17,uncalibrated,1,0.0379848083919132,2.71852387494713E-05,0.0378,12,0.329,0.581,1.355,0.0096,0.0093,0.00017,2.284
12,12,KNN,auto,19,uncalibrated,1,0.0379844354208686,2.72296276700918E-05,0.0378,12,0.321,0.578,1.355,0.0094,0.0094,0.00018,2.273
12,12,KNN,auto,21,uncalibrated,1,0.0379838124311796,2.72660327885657E-05,0.0378,12,0.43,0.635,1.401,0.0089,0.0086,0.00016,2.484
12,12,KNN,auto,23,uncalibrated,1,0.0379832261709562,2.7276160909849E-05,0.0378,12,0.442,0.576,1.48,0.0097,0.0094,0.00018,2.518
12,12,KNN,auto,25,uncalibrated,1,0.0379825014610306,2.73765874968289E-05,0.0378,12,0.473,0.656,1.424,0.0097,0.0097,0.00017,2.572
12,12,KNN,auto,27,uncalibrated,1,0.0379819424769422,2.74247274822596E-05,0.0378,12,0.47,1.034,2.578,0.0103,0.0103,0.00026,4.103
12,12,KNN,auto,29,uncalibrated,1,0.0379813918952137,2.74272938703676E-05,0.0378,12,0.457,0.748,1.274,0.0087,0.0085,0.00017,2.497
12,12,KNN,auto,31,uncalibrated,1,0.0379809609187782,2.74503719654731E-05,0.0378,12,0.474,0.779,1.442,0.0108,0.011,0.00037,2.717
