feature_set,n_features,model,calibration,Delta,mean,mean_err
30,30,kNN ball_tree,calibrated,0.0378,0.137983315065822,0.0447677721567583
30,30,kNN ball_tree,calibrated,0.0382,0.863468148788928,0.0568329059707583
30,30,kNN ball_tree,calibrated,0.0386,0.999600446628314,0.00017558636206838
30,30,kNN ball_tree,calibrated,0.039,0.999804824711331,5.88313455706836E-15
30,30,kNN ball_tree,calibrated,0.0394,0.999804824711349,5.88313455706836E-15
30,30,kNN ball_tree,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
30,30,kNN ball_tree,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
30,30,kNN ball_tree,calibrated,0.041,0.999804824711357,3.92208970471224E-15
30,30,kNN ball_tree,uncalibrated,0.036,0,0
30,30,kNN ball_tree,uncalibrated,0.0366,0,0
30,30,kNN ball_tree,uncalibrated,0.037,0,0
30,30,kNN ball_tree,uncalibrated,0.0374,0.000370003700037,0.000370003700037
30,30,kNN ball_tree,uncalibrated,0.0378,0.138311046570259,0.0448614353570685
30,30,kNN ball_tree,uncalibrated,0.0382,0.864,0.0566976750610935
30,30,kNN ball_tree,uncalibrated,0.0386,0.999806110641991,0.000165282889106084
30,30,kNN ball_tree,uncalibrated,0.039,1,0
30,30,kNN ball_tree,uncalibrated,0.0394,1,0
30,30,kNN ball_tree,uncalibrated,0.0398,1,0
30,30,kNN ball_tree,uncalibrated,0.0402,1,0
30,30,kNN ball_tree,uncalibrated,0.041,1,0
30,30,SVM (RBF),calibrated,0.036,0.000221339236702279,4.09483677684853E-06
30,30,SVM (RBF),calibrated,0.0366,0.000908000163569393,9.64956200659642E-05
30,30,SVM (RBF),calibrated,0.037,0.0102662662564558,0.00341913214330863
30,30,SVM (RBF),calibrated,0.0374,0.0938766370007467,0.0424410113289909
30,30,SVM (RBF),calibrated,0.0378,0.361871769242843,0.0391035851289018
30,30,SVM (RBF),calibrated,0.0382,0.842994621561732,0.0526930406949982
30,30,SVM (RBF),calibrated,0.0386,0.970615495440414,0.0111301323428996
30,30,SVM (RBF),calibrated,0.039,0.998798843020009,0.000459934037358722
30,30,SVM (RBF),calibrated,0.0394,0.999516976779404,5.56948106155435E-05
30,30,SVM (RBF),calibrated,0.0398,0.999729338933931,1.49125605761507E-05
30,30,SVM (RBF),calibrated,0.0402,0.999721103918389,3.01920800402922E-05
30,30,SVM (RBF),calibrated,0.041,0.999808222637009,1.42485717056802E-06
30,30,SVM (RBF),uncalibrated,0.036,0.230133448916836,0.0003431049266966
30,30,SVM (RBF),uncalibrated,0.0366,0.258931752415599,0.00206408904524077
30,30,SVM (RBF),uncalibrated,0.037,0.321031743392288,0.00731723003338472
30,30,SVM (RBF),uncalibrated,0.0374,0.3946406299527,0.0188881979346509
30,30,SVM (RBF),uncalibrated,0.0378,0.462946501161103,0.00744569543661696
30,30,SVM (RBF),uncalibrated,0.0382,0.567554721411707,0.0234593884732912
30,30,SVM (RBF),uncalibrated,0.0386,0.624508632425488,0.017906785930938
30,30,SVM (RBF),uncalibrated,0.039,0.714290467439372,0.0129230885496567
30,30,SVM (RBF),uncalibrated,0.0394,0.732739870038594,0.00281144617666145
30,30,SVM (RBF),uncalibrated,0.0398,0.746669218338876,0.00120184205829707
30,30,SVM (RBF),uncalibrated,0.0402,0.746032026447528,0.00268625353718749
30,30,SVM (RBF),uncalibrated,0.041,0.755027857197943,0.000186038710218358
30,30,Neural Network,calibrated,0.036,0.000221650878584332,1.19692678976814E-18
30,30,Neural Network,calibrated,0.0366,0.000221650878584334,1.19692678976814E-18
30,30,Neural Network,calibrated,0.037,0.0137023233681206,0.00911167038478988
30,30,Neural Network,calibrated,0.0374,0.189308545311927,0.0627075244724744
30,30,Neural Network,calibrated,0.0378,0.423165370674884,0.0251292309929539
30,30,Neural Network,calibrated,0.0382,0.721298424542039,0.068227765830226
30,30,Neural Network,calibrated,0.0386,0.881323231456395,0.0500410682704176
30,30,Neural Network,calibrated,0.039,0.999791950891195,8.31912538294958E-06
30,30,Neural Network,calibrated,0.0394,0.999804824711349,5.88313455706836E-15
30,30,Neural Network,calibrated,0.0398,0.999804824711337,5.57327535144975E-15
30,30,Neural Network,calibrated,0.0402,0.999804824711345,5.57327535144975E-15
30,30,Neural Network,calibrated,0.041,0.999804824711357,3.92208970471224E-15
30,30,Neural Network,uncalibrated,0.036,0,0
30,30,Neural Network,uncalibrated,0.0366,0,0
30,30,Neural Network,uncalibrated,0.037,0,0
30,30,Neural Network,uncalibrated,0.0374,0.0116548488755557,0.0116148488755659
30,30,Neural Network,uncalibrated,0.0378,0.353241002332292,0.0678882144580695
30,30,Neural Network,uncalibrated,0.0382,0.955750616207969,0.0253260862815526
30,30,Neural Network,uncalibrated,0.0386,1,0
30,30,Neural Network,uncalibrated,0.039,1,0
30,30,Neural Network,uncalibrated,0.0394,1,0
30,30,Neural Network,uncalibrated,0.0398,1,0
30,30,Neural Network,uncalibrated,0.0402,1,0
30,30,Neural Network,uncalibrated,0.041,1,0
20,20,Logistic Regression,calibrated,0.036,9.28760074652651E-05,2.14610094023698E-06
20,20,Logistic Regression,calibrated,0.0366,0.000487151534781913,5.82408659124592E-05
20,20,Logistic Regression,calibrated,0.037,0.00638769767988042,0.0021805482271231
20,20,Logistic Regression,calibrated,0.0374,0.0607912767697317,0.0280600216734536
20,20,Logistic Regression,calibrated,0.0378,0.26062607098645,0.0319272952317117
20,20,Logistic Regression,calibrated,0.0382,0.761736990103872,0.077848783648903
20,20,Logistic Regression,calibrated,0.0386,0.944111439061175,0.0212096360931371
20,20,Logistic Regression,calibrated,0.039,0.998092176250119,0.000818373284476814
20,20,Logistic Regression,calibrated,0.0394,0.999370346903675,9.11343919145855E-05
20,20,Logistic Regression,calibrated,0.0398,0.999735811424759,1.36171490210051E-05
20,20,Logistic Regression,calibrated,0.0402,0.999691262291328,4.53207024930236E-05
20,20,Logistic Regression,calibrated,0.041,0.999824514705527,1.72945770514642E-06
