feature_set,n_features,model,algorithm,n_neighbors,calibration,Delta,chi,chi_err
30,30,KNN,auto,35,uncalibrated,0.037,0,0
30,30,KNN,auto,35,uncalibrated,0.0374,0.000132377474696915,0.000132178211662637
30,30,KNN,auto,35,uncalibrated,0.0378,0.114829318477306,0.0293554916885562
30,30,KNN,auto,35,uncalibrated,0.0382,0.0939674524213654,0.0360940219336423
30,30,KNN,auto,35,uncalibrated,0.0386,9.35081936554756E-05,9.3508193655469E-05
30,30,KNN,auto,35,uncalibrated,0.039,0,0
30,30,KNN,auto,35,uncalibrated,0.0394,0,0
30,30,KNN,auto,35,uncalibrated,0.0398,0,0
30,30,KNN,auto,35,uncalibrated,0.0402,0,0
30,30,KNN,auto,35,uncalibrated,0.041,0,0
30,30,KNN,auto,37,uncalibrated,0.036,0,0
30,30,KNN,auto,37,uncalibrated,0.0366,0,0
30,30,KNN,auto,37,uncalibrated,0.037,0,0
30,30,KNN,auto,37,uncalibrated,0.0374,0.000144466367129798,0.000137505657834703
30,30,KNN,auto,37,uncalibrated,0.0378,0.115540185619825,0.0294340629042646
30,30,KNN,auto,37,uncalibrated,0.0382,0.0935588554272791,0.036025379193466
30,30,KNN,auto,37,uncalibrated,0.0386,8.36724157983745E-05,8.36724157983561E-05
30,30,KNN,auto,37,uncalibrated,0.039,0,0
30,30,KNN,auto,37,uncalibrated,0.0394,0,0
30,30,KNN,auto,37,uncalibrated,0.0398,0,0
30,30,KNN,auto,37,uncalibrated,0.0402,0,0
30,30,KNN,auto,37,uncalibrated,0.041,0,0
30,30,KNN,auto,39,uncalibrated,0.036,0,0
30,30,KNN,auto,39,uncalibrated,0.0366,0,0
30,30,KNN,auto,39,uncalibrated,0.037,0,0
30,30,KNN,auto,39,uncalibrated,0.0374,0.000173846609013022,0.000167509263812336
30,30,KNN,auto,39,uncalibrated,0.0378,0.116055267484349,0.029409747706765
30,30,KNN,auto,39,uncalibrated,0.0382,0.0931506721705825,0.0360255993606091
30,30,KNN,auto,39,uncalibrated,0.0386,7.53106753635473E-05,7.53106753635434E-05
30,30,KNN,auto,39,uncalibrated,0.039,0,0
30,30,KNN,auto,39,uncalibrated,0.0394,0,0
30,30,KNN,auto,39,uncalibrated,0.0398,0,0
30,30,KNN,auto,39,uncalibrated,0.0402,0,0
30,30,KNN,auto,39,uncalibrated,0.041,0,0
30,30,KNN,auto,41,uncalibrated,0.036,0,0
30,30,KNN,auto,41,uncalibrated,0.0366,0,0
30,30,KNN,auto,41,uncalibrated,0.037,0,0
30,30,KNN,auto,41,uncalibrated,0.0374,0.000201958085564631,0.000191891484773999
30,30,KNN,auto,41,uncalibrated,0.0378,0.116426271985871,0.029449287153635
30,30,KNN,auto,41,uncalibrated,0.0382,0.0926554969855841,0.0359029692178492
30,30,KNN,auto,41,uncalibrated,0.0386,6.81424968637442E-05,6.81424968637416E-05
30,30,KNN,auto,41,uncalibrated,0.039,0,0
30,30,KNN,auto,41,uncalibrated,0.0394,0,0
30,30,KNN,auto,41,uncalibrated,0.0398,0,0
30,30,KNN,auto,41,uncalibrated,0.0402,0,0
30,30,KNN,auto,41,uncalibrated,0.041,0,0
30,30,KNN,auto,43,uncalibrated,0.036,0,0
30,30,KNN,auto,43,uncalibrated,0.0366,0,0
30,30,KNN,auto,43,uncalibrated,0.037,0,0
30,30,KNN,auto,43,uncalibrated,0.0374,0.000183526191221751,0.000183208375403303
30,30,KNN,auto,43,uncalibrated,0.0378,0.117027580452429,0.0294849624066116
30,30,KNN,auto,43,uncalibrated,0.0382,0.0922478065463191,0.0357778701004168
30,30,KNN,auto,43,uncalibrated,0.0386,6.19510747582218E-05,6.19510747582204E-05
30,30,KNN,auto,43,uncalibrated,0.039,0,0
30,30,KNN,auto,43,uncalibrated,0.0394,0,0
30,30,KNN,auto,43,uncalibrated,0.0398,0,0
30,30,KNN,auto,43,uncalibrated,0.0402,0,0
30,30,KNN,auto,43,uncalibrated,0.041,0,0
30,30,KNN,auto,45,uncalibrated,0.036,0,0
30,30,KNN,auto,45,uncalibrated,0.0366,0,0
30,30,KNN,auto,45,uncalibrated,0.037,0,0
30,30,KNN,auto,45,uncalibrated,0.0374,0.000208604021422641,0.000208248348599226
30,30,KNN,auto,45,uncalibrated,0.0378,0.11750778628324,0.0295254483996187
30,30,KNN,auto,45,uncalibrated,0.0382,0.0918528758099569,0.0357645806702339
30,30,KNN,auto,45,uncalibrated,0.0386,5.65666850508373E-05,5.65666850508393E-05
30,30,KNN,auto,45,uncalibrated,0.039,0,0
30,30,KNN,auto,45,uncalibrated,0.0394,0,0
30,30,KNN,auto,45,uncalibrated,0.0398,0,0
30,30,KNN,auto,45,uncalibrated,0.0402,0,0
30,30,KNN,auto,45,uncalibrated,0.041,0,0
30,30,KNN,auto,47,uncalibrated,0.036,0,0
30,30,KNN,auto,47,uncalibrated,0.0366,0,0
30,30,KNN,auto,47,uncalibrated,0.037,0,0
30,30,KNN,auto,47,uncalibrated,0.0374,0.000238355580237075,0.00023792585323166
30,30,KNN,auto,47,uncalibrated,0.0378,0.117994335813155,0.0295468135408428
30,30,KNN,auto,47,uncalibrated,0.0382,0.091517240385663,0.0356134074739387
30,30,KNN,auto,47,uncalibrated,0.0386,6.27444635789235E-05,6.27444635789131E-05
30,30,KNN,auto,47,uncalibrated,0.039,0,0
30,30,KNN,auto,47,uncalibrated,0.0394,0,0
30,30,KNN,auto,47,uncalibrated,0.0398,0,0
30,30,KNN,auto,47,uncalibrated,0.0402,0,0
30,30,KNN,auto,47,uncalibrated,0.041,0,0
30,30,KNN,auto,49,uncalibrated,0.036,0,0
30,30,KNN,auto,49,uncalibrated,0.0366,0,0
30,30,KNN,auto,49,uncalibrated,0.037,0,0
30,30,KNN,auto,49,uncalibrated,0.0374,0.00024264209058533,0.000242194012333647
30,30,KNN,auto,49,uncalibrated,0.0378,0.118405643350476,0.0295996504181547
30,30,KNN,auto,49,uncalibrated,0.0382,0.0912468492612998,0.035514620653585
30,30,KNN,auto,49,uncalibrated,0.0386,5.77269971036307E-05,5.77269971036314E-05
30,30,KNN,auto,49,uncalibrated,0.039,0,0
30,30,KNN,auto,49,uncalibrated,0.0394,0,0
30,30,KNN,auto,49,uncalibrated,0.0398,0,0
30,30,KNN,auto,49,uncalibrated,0.0402,0,0
30,30,KNN,auto,49,uncalibrated,0.041,0,0
30,30,KNN,auto,51,uncalibrated,0.036,0,0
30,30,KNN,auto,51,uncalibrated,0.0366,0,0
30,30,KNN,auto,51,uncalibrated,0.037,0,0
30,30,KNN,auto,51,uncalibrated,0.0374,0.00024707568330803,0.00024661108050088
30,30,KNN,auto,51,uncalibrated,0.0378,0.118844839493231,0.0296273012331129
30,30,KNN,auto,51,uncalibrated,0.0382,0.0909465823843157,0.0355091938448111
30,30,KNN,auto,51,uncalibrated,0.0386,5.32881661075866E-05,5.32881661075813E-05
30,30,KNN,auto,51,uncalibrated,0.039,0,0
30,30,KNN,auto,51,uncalibrated,0.0394,0,0
