feature_set,n_features,model,calibration,Delta,mean,mean_err
20,20,kNN,uncalibrated,0.0378,0.05792138117424,0.0255311381619175
20,20,kNN,uncalibrated,0.0382,0.765436,0.0890101974382711
20,20,kNN,uncalibrated,0.0386,0.99786892758936,0.00165350333493918
20,20,kNN,uncalibrated,0.039,1,0
20,20,kNN,uncalibrated,0.0394,1,0
20,20,kNN,uncalibrated,0.0398,1,0
20,20,kNN,uncalibrated,0.0402,1,0
20,20,kNN,uncalibrated,0.041,1,0
20,20,SVM (RBF),calibrated,0.036,0.00022112311390075,9.87055614154891E-07
20,20,SVM (RBF),calibrated,0.0366,0.000373236739800365,1.93731182304746E-05
20,20,SVM (RBF),calibrated,0.037,0.0021013659478559,0.000624194760319359
20,20,SVM (RBF),calibrated,0.0374,0.0207874602118088,0.0107189050256014
20,20,SVM (RBF),calibrated,0.0378,0.134935717617795,0.0231058968023068
20,20,SVM (RBF),calibrated,0.0382,0.659761193334067,0.113512889476498
20,20,SVM (RBF),calibrated,0.0386,0.915316652502273,0.0339852349979079
20,20,SVM (RBF),calibrated,0.039,0.998130650981654,0.000857407707072766
20,20,SVM (RBF),calibrated,0.0394,0.999442263376555,8.50238889313152E-05
20,20,SVM (RBF),calibrated,0.0398,0.999749866397194,1.45386824962077E-05
20,20,SVM (RBF),calibrated,0.0402,0.999702058750697,4.64104264891185E-05
20,20,SVM (RBF),calibrated,0.041,0.999801877539779,1.67121601463149E-06
20,20,SVM (RBF),uncalibrated,0.036,0.253851192336149,9.7101732005603E-05
20,20,SVM (RBF),uncalibrated,0.0366,0.264658309099742,0.000961369087858328
20,20,SVM (RBF),uncalibrated,0.037,0.301289721378796,0.00535382705447057
20,20,SVM (RBF),uncalibrated,0.0374,0.359493594585659,0.0163555788916319
20,20,SVM (RBF),uncalibrated,0.0378,0.42266035638118,0.00723027720007126
20,20,SVM (RBF),uncalibrated,0.0382,0.531913598348074,0.0263649350147819
20,20,SVM (RBF),uncalibrated,0.0386,0.594679986968611,0.0206790358128853
20,20,SVM (RBF),uncalibrated,0.039,0.700667083197429,0.0162040297904684
20,20,SVM (RBF),uncalibrated,0.0394,0.721443143765054,0.00341830474600626
20,20,SVM (RBF),uncalibrated,0.0398,0.739503610112189,0.00108100592136305
