feature_set,n_features,model,algorithm,n_neighbors,calibration,Delta,mean,mean_err
30,30,KNN,auto,45,uncalibrated,0.0402,1,0
30,30,KNN,auto,45,uncalibrated,0.041,1,0
30,30,KNN,auto,47,uncalibrated,0.036,0,0
30,30,KNN,auto,47,uncalibrated,0.0366,0,0
30,30,KNN,auto,47,uncalibrated,0.037,0,0
30,30,KNN,auto,47,uncalibrated,0.0374,0.000724128383702852,0.000724128383702852
30,30,KNN,auto,47,uncalibrated,0.0378,0.164084415864658,0.0487526295555905
30,30,KNN,auto,47,uncalibrated,0.0382,0.884553191489363,0.048997268584941
30,30,KNN,auto,47,uncalibrated,0.0386,0.999731910019222,0.00026808998074631
30,30,KNN,auto,47,uncalibrated,0.039,1,0
30,30,KNN,auto,47,uncalibrated,0.0394,1,0
30,30,KNN,auto,47,uncalibrated,0.0398,1,0
30,30,KNN,auto,47,uncalibrated,0.0402,1,0
30,30,KNN,auto,47,uncalibrated,0.041,1,0
30,30,KNN,auto,49,uncalibrated,0.036,0,0
30,30,KNN,auto,49,uncalibrated,0.0366,0,0
30,30,KNN,auto,49,uncalibrated,0.037,0,0
30,30,KNN,auto,49,uncalibrated,0.0374,0.000735429306857878,0.000735429306857878
30,30,KNN,auto,49,uncalibrated,0.0378,0.164755557395372,0.0489189668521068
30,30,KNN,auto,49,uncalibrated,0.0382,0.884918367346939,0.0488377970617844
30,30,KNN,auto,49,uncalibrated,0.0386,0.999742852467469,0.000257147532552518
30,30,KNN,auto,49,uncalibrated,0.039,1,0
30,30,KNN,auto,49,uncalibrated,0.0394,1,0
30,30,KNN,auto,49,uncalibrated,0.0398,1,0
30,30,KNN,auto,49,uncalibrated,0.0402,1,0
30,30,KNN,auto,49,uncalibrated,0.041,1,0
30,30,KNN,auto,51,uncalibrated,0.036,0,0
30,30,KNN,auto,51,uncalibrated,0.0366,0,0
30,30,KNN,auto,51,uncalibrated,0.037,0,0
30,30,KNN,auto,51,uncalibrated,0.0374,0.000745843883098785,0.000745843883098785
30,30,KNN,auto,51,uncalibrated,0.0378,0.165592809131766,0.0490333054585254
30,30,KNN,auto,51,uncalibrated,0.0382,0.885372549019608,0.0487560218609991
30,30,KNN,auto,51,uncalibrated,0.0386,0.999752936684421,0.000247063315589743
30,30,KNN,auto,51,uncalibrated,0.039,1,0
30,30,KNN,auto,51,uncalibrated,0.0394,1,0
30,30,KNN,auto,51,uncalibrated,0.0398,1,0
30,30,KNN,auto,51,uncalibrated,0.0402,1,0
30,30,KNN,auto,51,uncalibrated,0.041,1,0
30,30,KNN,auto,61,uncalibrated,0.036,0,0
30,30,KNN,auto,61,uncalibrated,0.0366,0,0
30,30,KNN,auto,61,uncalibrated,0.037,0,0
30,30,KNN,auto,61,uncalibrated,0.0374,0.000804082771295886,0.000804082771295886
30,30,KNN,auto,61,uncalibrated,0.0378,0.168689522162737,0.0495002450608403
30,30,KNN,auto,61,uncalibrated,0.0382,0.887147540983607,0.0483156461049662
30,30,KNN,auto,61,uncalibrated,0.0386,0.999793438867305,0.000206561132706162
30,30,KNN,auto,61,uncalibrated,0.039,1,0
30,30,KNN,auto,61,uncalibrated,0.0394,1,0
30,30,KNN,auto,61,uncalibrated,0.0398,1,0
30,30,KNN,auto,61,uncalibrated,0.0402,1,0
30,30,KNN,auto,61,uncalibrated,0.041,1,0
30,30,KNN,auto,81,uncalibrated,0.036,0,0
30,30,KNN,auto,81,uncalibrated,0.0366,0,0
30,30,KNN,auto,81,uncalibrated,0.037,0,0
