stride,feature_set,n_features,model,K0,chi,chi_err
50,12,12,Birch,4.75,0.104817317813007,0.00863437213098938
50,12,12,Birch,4.76,0.140849366177673,0.00696190404891591
50,12,12,Birch,4.77,0.182699318036955,0.0109531729741923
50,12,12,Birch,4.78,0.204772777196742,0.00609644152785699
50,12,12,Birch,4.79,0.231832349121711,0.0056956902250215
50,12,12,Birch,4.81,0.250753364638228,0.000321721045105916
50,12,12,Birch,4.82,0.245269981968449,0.0020502025958734
50,12,12,Birch,4.83,0.233771184938242,0.00388214769755924
50,12,12,Birch,4.84,0.21732016763869,0.00559641993680259
50,12,12,Birch,4.85,0.209717845647923,0.00621543489892037
50,12,12,Birch,4.86,0.185105662776852,0.00852299162924963
50,12,12,Birch,4.87,0.160993037393112,0.00846449293675318
50,12,12,Birch,4.88,0.150789741972699,0.0148219273743017
50,12,12,Birch,4.9,0.104407237266718,0.00762616451750727
50,12,12,Birch,4.93,0.0813541272739803,0.0093140591369545
1000,12,12,BayesianGMM,4.67,0,0
1000,12,12,BayesianGMM,4.7,8.50606397491231E-19,8.43439691012685E-19
1000,12,12,BayesianGMM,4.72,6.1915225442154E-13,5.67146340726935E-13
1000,12,12,BayesianGMM,4.73,0.000581037629696562,0.000577761105515642
1000,12,12,BayesianGMM,4.74,8.09276226728264E-05,8.09275953477182E-05
1000,12,12,BayesianGMM,4.75,0.0286386640533498,0.0286356195010783
1000,12,12,BayesianGMM,4.76,0.0401583438847027,0.025814864949863
1000,12,12,BayesianGMM,4.77,0.0536632234381906,0.0361303539878707
1000,12,12,BayesianGMM,4.78,0.0522164050922788,0.0343830633660112
1000,12,12,BayesianGMM,4.79,0.116168492918992,0.0468704996637
1000,12,12,BayesianGMM,4.81,0.170003470835985,0.0254043914512748
1000,12,12,BayesianGMM,4.82,0.165333639931376,0.0152896217289678
1000,12,12,BayesianGMM,4.83,0.165483004523614,0.01615964219303
1000,12,12,BayesianGMM,4.84,0.169108762938356,0.0167514572972862
1000,12,12,BayesianGMM,4.85,0.137161345438705,0.0270169478256042
1000,12,12,BayesianGMM,4.86,0.137107828806688,0.0239009585365983
1000,12,12,BayesianGMM,4.87,0.125076736651803,0.0277024325376877
1000,12,12,BayesianGMM,4.88,0.127688309813304,0.0258334270355081
1000,12,12,BayesianGMM,4.9,0.0794020261743131,0.0290870012341241
1000,12,12,BayesianGMM,4.93,0.0864651655226121,0.0291824562149401
