feature_set,n_features,model,algorithm,n_neighbors,calibration,K0,chi,chi_err
30,30,KNN,auto,13,uncalibrated,4.78,0.1547519384800285,0.010860763123798203
30,30,KNN,auto,13,uncalibrated,4.79,0.05771755980851211,0.008653063806175232
30,30,KNN,auto,13,uncalibrated,4.81,0.004069212547730884,0.003921626145085761
30,30,KNN,auto,13,uncalibrated,4.82,0.00038811919939630245,0.0003733113578224524
30,30,KNN,auto,13,uncalibrated,4.83,6.948104387112464e-05,5.708422928539679e-05
30,30,KNN,auto,13,uncalibrated,4.84,9.880229660449568e-05,9.880229660449435e-05
30,30,KNN,auto,13,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,13,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.73,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.74,0.008280668236488903,0.006267056068618938
30,30,KNN,auto,15,uncalibrated,4.75,0.048970701900717145,0.009575894876623853
30,30,KNN,auto,15,uncalibrated,4.76,0.12656590922303854,0.011247211884479033
30,30,KNN,auto,15,uncalibrated,4.77,0.18353962853460387,0.0051405985257510205
30,30,KNN,auto,15,uncalibrated,4.78,0.15478989340621618,0.011267356268402293
30,30,KNN,auto,15,uncalibrated,4.79,0.05903534508908045,0.008521523087559255
30,30,KNN,auto,15,uncalibrated,4.81,0.00412101429455297,0.003980352204446263
30,30,KNN,auto,15,uncalibrated,4.82,0.00041492017015128184,0.0004037315263835095
30,30,KNN,auto,15,uncalibrated,4.83,6.249610394885205e-05,4.3847763510422396e-05
30,30,KNN,auto,15,uncalibrated,4.84,0.00013193156050299044,0.00013193156050298908
30,30,KNN,auto,15,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,15,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.73,2.322180422491016e-05,1.6280168805355138e-05
30,30,KNN,auto,17,uncalibrated,4.74,0.008172983993258566,0.006576401924868511
30,30,KNN,auto,17,uncalibrated,4.75,0.04912912493095152,0.009532465494161134
30,30,KNN,auto,17,uncalibrated,4.76,0.12709068347305535,0.011068051636324355
30,30,KNN,auto,17,uncalibrated,4.77,0.18280270446755276,0.005545689404733126
30,30,KNN,auto,17,uncalibrated,4.78,0.15465938591704778,0.010737140044302235
30,30,KNN,auto,17,uncalibrated,4.79,0.05606074342208939,0.008391398185793262
30,30,KNN,auto,17,uncalibrated,4.81,0.004148982293957712,0.003964599842589953
30,30,KNN,auto,17,uncalibrated,4.82,0.0004365828267148773,0.0004278411190432218
30,30,KNN,auto,17,uncalibrated,4.83,4.86561362923571e-05,3.4137532144792616e-05
30,30,KNN,auto,17,uncalibrated,4.84,0.000160492004288345,0.0001604920042883463
30,30,KNN,auto,17,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,17,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.73,1.8590308645426775e-05,1.3033154528386777e-05
30,30,KNN,auto,19,uncalibrated,4.74,0.00864042735299607,0.006544821492643834
30,30,KNN,auto,19,uncalibrated,4.75,0.04940068452609033,0.009417266771521642
30,30,KNN,auto,19,uncalibrated,4.76,0.12779331119925522,0.01129963471017705
30,30,KNN,auto,19,uncalibrated,4.77,0.18172492711597,0.005433841238915457
30,30,KNN,auto,19,uncalibrated,4.78,0.15480302257947715,0.010265707426120735
30,30,KNN,auto,19,uncalibrated,4.79,0.05547481826600569,0.008302564653061343
30,30,KNN,auto,19,uncalibrated,4.81,0.004123757480692949,0.003961046268432889
30,30,KNN,auto,19,uncalibrated,4.82,0.0004610737822921455,0.00044708009530064865
30,30,KNN,auto,19,uncalibrated,4.83,3.895186534208503e-05,2.7328938476025072e-05
30,30,KNN,auto,19,uncalibrated,4.84,0.00018501482688265303,0.00018501482688265434
30,30,KNN,auto,19,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,19,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.73,2.309570774632141e-05,1.3021319297103056e-05
30,30,KNN,auto,21,uncalibrated,4.74,0.00824744640895433,0.006296557615863462
30,30,KNN,auto,21,uncalibrated,4.75,0.049826592752353786,0.009423291765529395
30,30,KNN,auto,21,uncalibrated,4.76,0.12727678002744136,0.011662788980000264
30,30,KNN,auto,21,uncalibrated,4.77,0.18079772294117696,0.005221654664759782
30,30,KNN,auto,21,uncalibrated,4.78,0.15401071309156156,0.0102794717967815
30,30,KNN,auto,21,uncalibrated,4.79,0.05417613020482596,0.008158685272072178
30,30,KNN,auto,21,uncalibrated,4.81,0.003965774103778668,0.003820325474520188
30,30,KNN,auto,21,uncalibrated,4.82,0.0004747191835676146,0.00046324685509845694
30,30,KNN,auto,21,uncalibrated,4.83,3.188576732084265e-05,2.2371307913480845e-05
30,30,KNN,auto,21,uncalibrated,4.84,0.00020614306328592047,0.0002061430632859205
30,30,KNN,auto,21,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,21,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.73,1.9253699652415366e-05,1.0855201909305197e-05
30,30,KNN,auto,23,uncalibrated,4.74,0.008346259750680152,0.006369744942517057
30,30,KNN,auto,23,uncalibrated,4.75,0.0502854621889787,0.009449918159560916
30,30,KNN,auto,23,uncalibrated,4.76,0.12726904519903176,0.01167409999035046
30,30,KNN,auto,23,uncalibrated,4.77,0.18050573131132322,0.005414636583842189
30,30,KNN,auto,23,uncalibrated,4.78,0.153247673418476,0.010846909799198345
30,30,KNN,auto,23,uncalibrated,4.79,0.05380512926927421,0.008120901183765402
30,30,KNN,auto,23,uncalibrated,4.81,0.004006682728369329,0.003828653214050127
30,30,KNN,auto,23,uncalibrated,4.82,0.0004863992241014853,0.00047682525764386485
30,30,KNN,auto,23,uncalibrated,4.83,2.658151869280082e-05,1.8649804895737372e-05
30,30,KNN,auto,23,uncalibrated,4.84,0.00017185083347654858,0.0001718508334765424
30,30,KNN,auto,23,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,23,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.73,1.6296331385804303e-05,9.187842896035926e-06
30,30,KNN,auto,25,uncalibrated,4.74,0.008690950368535651,0.00665498460809851
30,30,KNN,auto,25,uncalibrated,4.75,0.050651905283914445,0.009393171868974417
30,30,KNN,auto,25,uncalibrated,4.76,0.1275378426681152,0.011407123585034328
30,30,KNN,auto,25,uncalibrated,4.77,0.1801691199054201,0.005416306024772932
30,30,KNN,auto,25,uncalibrated,4.78,0.15215041634274096,0.011295955369595545
30,30,KNN,auto,25,uncalibrated,4.79,0.05487579685337979,0.008322676966535242
30,30,KNN,auto,25,uncalibrated,4.81,0.0038914690743312246,0.0037361410897604635
30,30,KNN,auto,25,uncalibrated,4.82,0.0005893836222302363,0.0005812694186403891
30,30,KNN,auto,25,uncalibrated,4.83,2.249859742158616e-05,1.578519486375208e-05
30,30,KNN,auto,25,uncalibrated,4.84,0.00014545454545454136,0.0001454545454545455
30,30,KNN,auto,25,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,25,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.73,1.3971477525552323e-05,7.877094389605558e-06
30,30,KNN,auto,27,uncalibrated,4.74,0.008736389871384195,0.006523229801397856
30,30,KNN,auto,27,uncalibrated,4.75,0.050596441631750255,0.009361006557510607
30,30,KNN,auto,27,uncalibrated,4.76,0.12786551939101867,0.01118604824642248
30,30,KNN,auto,27,uncalibrated,4.77,0.17964254186538747,0.005240189348696517
30,30,KNN,auto,27,uncalibrated,4.78,0.1515638435930171,0.011533060515445975
30,30,KNN,auto,27,uncalibrated,4.79,0.0540967148165093,0.008659222245573093
30,30,KNN,auto,27,uncalibrated,4.81,0.0037504294111838305,0.003567378029955902
30,30,KNN,auto,27,uncalibrated,4.82,0.0006954853952539722,0.0006781681754356321
30,30,KNN,auto,27,uncalibrated,4.83,1.9288920971868394e-05,1.3533260342723004e-05
30,30,KNN,auto,27,uncalibrated,4.84,0.00016287846975677662,0.00016287846975677662
30,30,KNN,auto,27,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.86,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.87,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.88,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.9,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.93,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.73,1.2110828913350476e-05,6.828063983379853e-06
30,30,KNN,auto,29,uncalibrated,4.74,0.008858922902084516,0.006310088319358658
30,30,KNN,auto,29,uncalibrated,4.75,0.05085837861445407,0.009378190402647537
30,30,KNN,auto,29,uncalibrated,4.76,0.12822076600497334,0.011042142848943318
30,30,KNN,auto,29,uncalibrated,4.77,0.17896353984457122,0.005179127615048719
30,30,KNN,auto,29,uncalibrated,4.78,0.15152413118013447,0.010915808868037474
30,30,KNN,auto,29,uncalibrated,4.79,0.05410638596910763,0.008942647626419721
30,30,KNN,auto,29,uncalibrated,4.81,0.0037669970095118113,0.003552193036314743
30,30,KNN,auto,29,uncalibrated,4.82,0.0006898959854902884,0.0006748693587826381
30,30,KNN,auto,29,uncalibrated,4.83,1.9464620248151588e-05,1.1972205864839175e-05
30,30,KNN,auto,29,uncalibrated,4.84,0.00022272805637220787,0.00022050413695723963
30,30,KNN,auto,29,uncalibrated,4.85,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.86,0.0,0.0
