feature_set,n_features,model,algorithm,n_neighbors,calibration,K0,mean,mean_err
30,30,KNN,auto,25,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,25,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,25,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,25,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,27,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,27,uncalibrated,4.73,0.0003798670465337119,0.0002158623250551734
30,30,KNN,auto,27,uncalibrated,4.74,0.013843941028407051,0.00845019777058612
30,30,KNN,auto,27,uncalibrated,4.75,0.07644272179155781,0.01259342897399439
30,30,KNN,auto,27,uncalibrated,4.76,0.22572572572572577,0.024327533769435812
30,30,KNN,auto,27,uncalibrated,4.77,0.49591796097170904,0.02010295712953557
30,30,KNN,auto,27,uncalibrated,4.78,0.7214506172839507,0.024671577725128117
30,30,KNN,auto,27,uncalibrated,4.79,0.910299752084742,0.012336001942920899
30,30,KNN,auto,27,uncalibrated,4.81,0.993709358213175,0.005301102629347021
30,30,KNN,auto,27,uncalibrated,4.82,0.998410026187804,0.0013230212169232935
30,30,KNN,auto,27,uncalibrated,4.83,0.9996514161220323,0.00021133485841300163
30,30,KNN,auto,27,uncalibrated,4.84,0.9994502851645709,0.000549714835429173
30,30,KNN,auto,27,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,27,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,27,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,27,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,27,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,27,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,29,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,29,uncalibrated,4.73,0.00035366931918656057,0.00020097526815481662
30,30,KNN,auto,29,uncalibrated,4.74,0.01414462671576833,0.008285905590893875
30,30,KNN,auto,29,uncalibrated,4.75,0.07668404170008138,0.012576535392768736
30,30,KNN,auto,29,uncalibrated,4.76,0.22693383038210624,0.02420236003511939
30,30,KNN,auto,29,uncalibrated,4.77,0.4986095661846547,0.02015633529434146
30,30,KNN,auto,29,uncalibrated,4.78,0.7214080459770118,0.02411183249726173
30,30,KNN,auto,29,uncalibrated,4.79,0.9106106176120846,0.012287576559313156
30,30,KNN,auto,29,uncalibrated,4.81,0.9936825480389574,0.00513292971834689
30,30,KNN,auto,29,uncalibrated,4.82,0.9984326018808342,0.0013178417363046003
30,30,KNN,auto,29,uncalibrated,4.83,0.9996579091406677,0.0002227534290654555
30,30,KNN,auto,29,uncalibrated,4.84,0.9993368700265253,0.0006631299734747298
30,30,KNN,auto,29,uncalibrated,4.85,1.0,0.0
30,30,KNN,auto,29,uncalibrated,4.86,1.0,0.0
30,30,KNN,auto,29,uncalibrated,4.87,1.0,0.0
30,30,KNN,auto,29,uncalibrated,4.88,1.0,0.0
30,30,KNN,auto,29,uncalibrated,4.9,1.0,0.0
30,30,KNN,auto,29,uncalibrated,4.93,1.0,0.0
30,30,KNN,auto,31,uncalibrated,4.67,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.7,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.72,0.0,0.0
30,30,KNN,auto,31,uncalibrated,4.73,0.00033085194375516956,0.0001880091218222478
30,30,KNN,auto,31,uncalibrated,4.74,0.014093329157532104,0.00845599749451926
30,30,KNN,auto,31,uncalibrated,4.75,0.07708177044260947,0.012581208532708587
30,30,KNN,auto,31,uncalibrated,4.76,0.2273321708805579,0.02494125409692304
30,30,KNN,auto,31,uncalibrated,4.77,0.49939299340964266,0.02014308568956164
30,30,KNN,auto,31,uncalibrated,4.78,0.7219086021505376,0.02402106476397887
30,30,KNN,auto,31,uncalibrated,4.79,0.9106196427403016,0.01250824723871654
30,30,KNN,auto,31,uncalibrated,4.81,0.9937207584338834,0.005048017729623322
