transition,folder,tag,model,calibration,param,k4,chi,chi_err,chi_B,variance,variance_err,variance_B,ess_frac
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1183,1.2198692500000001,0.059245527713622056,0.029254904134931925,50.0,7.522116782408066e-06,7.220600290643443e-06,43.0,0.11098720393988275
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1182,1.2197975,0.05941355068868552,0.02934001878455548,50.0,7.380696391470795e-06,7.090707118051794e-06,43.0,0.11914413192848143
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1181,1.21972575,0.059583092881021996,0.029425887055885006,50.0,7.240175231491196e-06,6.961485277533414e-06,43.0,0.12781445356555976
AB,a_b,LR,Logistic Regression,uncalibrated,-0.118,1.219654,0.05975422959037743,0.029512544501470506,50.0,7.100666996907798e-06,6.833038502712481e-06,43.0,0.13701604022375152
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1179,1.21972185,0.05976590491993317,0.029511211843795092,50.0,7.1979448597934136e-06,6.923414642460916e-06,43.0,0.1411947229411354
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1178,1.2197897,0.059782759223270684,0.029512670846620716,50.0,7.2965025609110275e-06,7.015002290571881e-06,43.0,0.1452199000168324
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1177,1.21985755,0.059804852069938956,0.029516946419630645,50.0,7.396349124806472e-06,7.1078091152126934e-06,43.0,0.14907953545530128
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1176,1.2199254,0.05983222547431865,0.029524054818610118,50.0,7.497487879268723e-06,7.201837546160705e-06,43.0,0.1527625984893754
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1175,1.2199932500000001,0.059864904083630564,0.029534003751952864,50.0,7.599916198516273e-06,7.297084542412168e-06,43.0,0.1562589740730463
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1174,1.2200611000000001,0.05990289544571105,0.02954679252601125,50.0,7.703625262265934e-06,7.393541375180583e-06,43.0,0.1595593674405793
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1173,1.22012895,0.05994619035238864,0.02956241222716269,50.0,7.808599831853569e-06,7.491193427342596e-06,43.0,0.1626552088930752
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1172,1.2201968,0.05999476325376828,0.02958084593820081,50.0,7.914818044544573e-06,7.590020010351242e-06,43.0,0.1655385640878061
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1171,1.22026465,0.060048572738210085,0.029602068986419268,50.0,8.022251227176251e-06,7.68999419962068e-06,43.0,0.16820205415231596
AB,a_b,LR,Logistic Regression,uncalibrated,-0.117,1.2203325,0.06010756207241924,0.0296260492205824,50.0,8.130863730239739e-06,7.791082689345624e-06,43.0,0.1706387889922977
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1169,1.22040035,0.06017165979570241,0.029652747313795372,50.0,8.240612783485777e-06,7.89324566768362e-06,43.0,0.17284231625566115
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1168,1.2204682,0.060240780362216306,0.029682117089190562,50.0,8.351448374111507e-06,7.996436713185755e-06,43.0,0.174806587583651
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1167,1.22053605,0.06031482482489102,0.029714105865274475,50.0,8.46331314853743e-06,8.100602713313664e-06,43.0,0.1765259430361192
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1166,1.2206039,0.060393681554595124,0.029748654817745284,50.0,8.57614233874867e-06,8.20568380582835e-06,43.0,0.177995113922687
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1165,1.22067175,0.06047722698812388,0.02978569935458029,50.0,8.68986371411549e-06,8.311613343778278e-06,43.0,0.1792092436969649
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1164,1.2207396000000001,0.06056532639866155,0.029825169501255976,50.0,8.804397559555537e-06,8.418317884750862e-06,43.0,0.18016392606458137
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1163,1.2208074500000001,0.06065783468248884,0.029866990293017415,50.0,8.919656680827878e-06,8.525717204979573e-06,43.0,0.18085525900325924
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1162,1.2208753,0.060754597155902076,0.029911082171220675,50.0,9.035546437686297e-06,8.633724338833759e-06,43.0,0.18127991298041213
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1161,1.22094315,0.06085545035657555,0.02995736138090461,50.0,9.151964805523999e-06,8.742245644121401e-06,43.0,0.18143521127106516
AB,a_b,LR,Logistic Regression,uncalibrated,-0.116,1.221011,0.06096022284387018,0.030005740366892693,50.0,9.268802466067962e-06,8.85118089356605e-06,43.0,0.18131921991773045
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1159,1.2207344,0.06084709683295286,0.0299637729739833,50.0,8.534576279836816e-06,8.17473224090729e-06,43.0,0.21046164473431644
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1158,1.2204578000000001,0.060810258975505876,0.029959104742859437,50.0,7.866310411385681e-06,7.556798926975657e-06,43.0,0.24271672367338593
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1157,1.2201812,0.06085547221800135,0.029994619632167773,50.0,7.259176628822384e-06,6.993419298644929e-06,43.0,0.2779890204601163
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1156,1.2199046,0.06098765827660217,0.03007278661982541,50.0,6.708318869502801e-06,6.480535809290588e-06,43.0,0.31607598346742805
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1155,1.2196280000000002,0.0612107227185892,0.03019557169616316,50.0,6.208934670460359e-06,6.014072736740882e-06,43.0,0.3566641468994175
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1154,1.2193514,0.06152739996795975,0.030364359793477867,50.0,5.756343558938667e-06,5.590003769375643e-06,43.0,0.3993315095691237
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1153,1.2190748,0.06193912662658327,0.030579890869534415,50.0,5.346042862500404e-06,5.204409265002999e-06,43.0,0.4435558099778961
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1152,1.2187982,0.06244595041412168,0.030842213824092267,50.0,4.97375167742957e-06,4.853523337204663e-06,43.0,0.48872774986112516
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1151,1.2185216,0.06304648027773724,0.031150661054600005,50.0,4.6354439326563525e-06,4.533771202084229e-06,43.0,0.5341678001230642
AB,a_b,LR,Logistic Regression,uncalibrated,-0.115,1.218245,0.06373788092527605,0.031503845308032234,50.0,4.32737161310926e-06,4.24179742694309e-06,43.0,0.5791451210461454
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1149,1.2179684,0.06451591238584929,0.03189967915639552,50.0,4.046079271733479e-06,3.974485866885217e-06,43.0,0.6228973159002527
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1148,1.2176918,0.06537501244319455,0.03233541603576524,50.0,3.7884109743927215e-06,3.72897216334839e-06,43.0,0.6646501122242701
AB,a_b,LR,Logistic Regression,uncalibrated,-0.1147,1.2174152,0.06630841718214461,0.03280771047509158,50.0,3.551510797338089e-06,3.5026497189344326e-06,43.0,0.7036364947388867
